Date,BH,all_75,all_65,all_60,all_55,TWA02
2024-01-19,3.6930033280627272,-0.4294399168790759,-0.46998774342925936,-0.5872586671584809,-0.19780812218364552,2.633730102014309
2024-01-22,4.20429320921194,-1.3681003159936145,-1.4436889734153902,-1.5834344997648837,-0.16394679492732508,3.409072251412626
2024-01-23,4.504316543704889,-1.0762402194064609,-1.0843712318279648,-1.4562887607096988,0.09582402735242893,3.754377550122312
2024-01-24,4.542765685078609,-0.5239072278702704,-0.5464347547004557,-0.8642607948811454,0.5195085013386935,3.761591036758394
2024-01-25,5.772993001562865,0.10196163774732035,-0.8810738370760879,-0.3413533271707858,1.0265339169260814,4.497555085602278
2024-01-26,5.788833037247643,3.652728362181393,2.6331950318735324,3.1578172115051375,4.590888387914575,4.453493601933434
2024-01-29,6.468265440232357,3.743818056055131,1.9984984964539891,3.2364477610958984,3.976599099500327,5.176753301179504
2024-01-30,5.787218623141732,3.639063603610696,2.0865435130095538,3.562081790877723,3.91817459893433,4.683356198471023
2024-01-31,4.6845348694195765,4.470098252058952,2.2367273870774693,4.236502587306195,3.9456689641531892,3.84128929768901
2024-02-01,4.944524871614719,3.97591152133995,1.6474750856483378,3.839130593516112,3.760350415068276,4.2972193354817945
2024-02-02,5.605132288948056,4.932425180203435,2.53389885796798,4.729634769012867,3.9836518603587687,4.830209866703927
2024-02-05,6.1629492702864885,5.496641766628784,3.0775981984980167,5.275182737030551,4.176208537704658,5.03996621504319
2024-02-15,10.295262776799486,5.715444569299867,3.0510387532390792,5.246731110535146,4.200770652216907,8.223805421042861
2024-02-16,9.355011732952189,5.238441743492747,2.9017142473073787,4.88106354350631,3.9042849905912127,8.00718549400139
2024-02-19,9.349092793550518,5.625854621746402,3.528340176081311,5.0043196315468155,3.950272434770323,8.172880358671787
2024-02-20,10.350137664180625,5.498191713258465,3.2288080314639753,4.590526429071638,3.623554706543084,8.8540972738673
2024-02-21,9.606753562766478,7.995343115075881,5.789940577169243,7.130413286011003,5.948553425265077,8.408072322201686
2024-02-22,10.784032867021676,8.296293181625341,5.690123021399527,6.971112683899049,6.333439348875198,9.432360508529293
2024-02-23,11.284558331924455,8.796678927037657,6.134872682754934,7.437747901296419,6.390919708600357,9.643704900568274
2024-02-26,11.531407286570094,10.397478586170669,7.737579038187603,8.96046273151863,6.608496371578976,9.985349623970086
2024-02-27,11.092746109028884,11.856499233385849,9.093968586142454,10.303393379185428,7.920639675857768,9.441834938737848
2024-02-29,11.338023862427304,12.135122515316509,8.500581231017351,10.398101102984914,7.107460207045341,10.094009495424693
2024-03-01,10.92245345805891,12.914239937049826,8.888644475101295,11.132780135720763,7.545709642998625,9.91499121327346
2024-03-04,13.941851756122814,13.362855224578698,9.35985919337873,11.67432154244182,7.976117076036944,12.059092451866803
2024-03-05,14.405961090876085,13.703769662154981,9.81468564373738,11.801907124433127,8.109210411109709,12.532840878290475
2024-03-06,15.167224036049642,13.787761538061421,8.39035031800868,10.374184353098885,8.096369914837021,13.186011326788982
