Date,BH,all_75,all_65,all_60,all_55
2024-01-30,-0.9259259259259411,-0.33999999999999986,-0.9259297372895503,-0.9259297372895503,0.0
2024-01-31,-3.0853735091023293,-2.6196309349514966,-3.1055606722410465,-3.1055606722410465,0.0
2024-02-01,-3.0853735091023293,-2.619630908100735,-3.105560645390285,-3.4455606722410463,0.0
2024-02-02,-2.0056497175141352,-1.5055322167677332,-1.9914619540572822,-2.4314619809080433,1.0140986913330021
2024-02-05,-0.3075957313245503,0.22727703786078557,-2.331461954057282,-0.6986527262795246,2.746907945961521
2024-02-15,7.5627746390457995,8.12193507497882,5.463196083060753,7.19600531083851,10.641565983079555
2024-02-16,5.401757689893261,7.78193507497882,3.454118083695967,6.85600531083851,8.632487983714771
2024-02-19,4.629629629629606,6.949380495662224,2.72156350437937,6.85600531083851,7.899933404398173
2024-02-20,6.01851851851849,8.276810472391718,2.38156350437937,8.083435287568003,7.559933404398173
2024-02-21,5.09259259259256,7.403453404809921,1.408206436797574,7.743435287568003,7.559933404398173
2024-02-22,6.790646578782145,9.019214763841157,3.0239677958288116,9.259196646599241,7.559933404398173
2024-02-23,7.5627746390457995,9.742250920906402,3.7470039528940546,9.982232803664486,7.559933404398173
2024-02-26,7.716572504708075,9.88523234742531,3.4070039528940548,9.642232803664486,7.559933404398173
2024-02-27,7.716572504708075,9.54523234742531,3.4070039528940548,9.542232803664485,7.559933404398173
2024-02-29,6.481481481481466,9.54523234742531,3.4070039528940548,8.395621637163599,6.313322237897289
2024-03-01,6.327683615819191,9.300798982750875,3.1625705882196176,8.251188272489161,6.168888873222851
2024-03-04,11.883239171374749,14.52573146314761,8.387503068616352,13.476120752885896,11.393821353619586
2024-03-05,12.655367231638426,15.215857111051863,8.047503068616352,13.136120752885896,12.083947001523839
2024-03-06,13.425925925925931,15.899849767999493,8.631495725563981,13.720113409833525,11.74394700152384
2024-03-07,17.284996861268056,19.30213641843703,12.03378237600152,17.12240006027106,11.74394700152384
2024-03-08,20.98870056497175,22.45999964958677,15.19164560715126,20.280263291420802,14.801810232673581
2024-03-11,18.21092278719396,22.119999649586767,12.895745489484783,19.940263291420806,12.505910115007104
2024-03-12,18.82768361581919,22.54174472505359,12.555745489484783,20.36200836688763,13.02765519047393
2024-03-13,20.216572504708076,23.71057564926285,13.624576413694042,21.53083929109689,14.19648611468319
2024-03-14,20.98870056497173,24.352854283048202,14.266855047479394,22.17311792488224,14.838764748468542
2024-03-15,16.203703703703674,24.0128542830482,10.311944115570816,18.218206992973663,14.498764748468542
2024-03-18,18.452605147520362,24.0128542830482,12.247255970481026,20.153518847883873,14.498764748468542
2024-03-19,18.141870684243532,23.650520752754808,11.907255970481026,19.891185317590477,14.498764748468542
2024-03-20,17.521971123666024,23.12581131516353,11.907255970481026,19.366475879999207,14.498764748468542
2024-03-21,21.553672316384166,26.556405382096777,15.237850037414274,22.797069946932453,17.82935881540179
2024-03-22,21.70903954802259,26.684229792398376,15.365674447715877,22.45706994693245,17.957183225703393
2024-03-25,20.933772755806658,26.047245769388603,15.025674447715877,22.45706994693245,17.32019920269362
2024-03-26,21.242937853107335,26.30289020017794,15.025674447715877,22.45706994693245,17.575843633482958
2024-03-27,20.77840552416823,25.962890200177938,15.025674447715877,22.45706994693245,17.192699053997124
2024-03-28,19.22787193973634,25.962890200177938,15.025674447715877,22.45706994693245,15.90891459122858
2024-03-29,20.77840552416823,27.163370038483038,15.025674447715877,23.65754978523755,17.20939442953368
2024-04-01,19.38323917137477,26.008230491972952,15.025674447715877,22.502410238727464,16.054254883023592
2024-04-02,22.484306340238525,28.60579699736251,15.025674447715877,25.099976744117022,18.651821388413147
2024-04-03,20.933772755806636,27.339900254989708,13.659777705343073,23.83408000174422,17.38592464604034
2024-04-08,21.39830508474574,27.724016413474992,14.043893863828357,24.218196160229503,17.770040804525625
2024-04-09,26.98053986189577,32.3222980942293,18.64217554458267,28.816477840983815,17.430040804525625
2024-04-10,26.35907093534209,31.9822980942293,18.302175544582667,28.47647784098381,17.430040804525625
2024-04-11,27.134337727558044,31.9822980942293,18.302175544582667,28.47647784098381,17.430040804525625
2024-04-12,26.82517263025734,31.9822980942293,18.302175544582667,28.47647784098381,17.08686451080594
2024-04-15,24.963904582548622,31.9822980942293,18.302175544582667,28.47647784098381,15.619280690824631
