日期,rsi,k,d,wr,cci,adx,acc_5,acc_10,acc_20,acc_60,acc_120,vpt,beta,y_10,y_20,y_40,y_60
2006-11-09,47.17658086293978,32.61859907112768,36.650021950478816,-68.14404432132955,-22.890000000000864,12.946886234515349,0.975,1.022134990731654,1.0094268068046377,1.0410108148624049,1.1375368296994697,0.0,1.343035,0,0,0,0
2006-11-10,47.17658086293978,29.864669800981765,35.632169276149355,-68.14404432132955,-35.76457428609002,12.784996666492694,0.9780434782608696,1.0286404038187205,1.007887817703769,1.0508697079094191,1.0861300164280685,0.0,1.339707,0,0,0,0
2006-11-13,45.316066956807525,29.28989251446663,34.65187127057658,-83.93351800554005,-88.12238782430452,13.216556900997512,0.9936447764522244,1.001442361034062,1.0260047281323876,1.0749776186213071,1.0357184140561784,0.0,1.351386,0,0,0,0
2006-11-14,38.07799946806832,26.86654503135918,33.33420611928486,-92.9159802306425,-225.07464417195743,14.933015714839287,1.067870201096892,1.0466237942122183,1.0296600501939313,1.1604201480066842,0.9812338728594884,0.0,1.279329,0,0,1,1
2006-11-15,39.21356185696875,26.476032615021342,31.97748972635935,-88.13838550247118,-202.64131008980408,16.526870327692365,1.056378459065335,1.0299689975887014,1.0082050129257054,1.1419895542329648,0.9413007748297724,0.0,1.283809,0,0,0,1
2006-11-16,39.21356185696876,26.085520198683504,30.955372199791423,-88.13838550247118,-151.93243304687803,17.72731221743441,1.036399127339534,1.0099076784507994,1.0574347332576617,1.1293204796614156,1.012771996215705,0.0,1.281615,0,0,0,1
2006-11-17,35.282765416881404,25.146418303336425,30.02724945129138,-90.6005221932115,-175.80709723455064,19.73182969698806,1.0539467538533396,1.0401109698300777,1.0637903038738112,1.118000925497455,1.0671172220927525,0.0,1.256023,1,1,1,1
2006-11-20,40.96359114357144,26.763383561614056,29.38976989401793,-71.67101827676238,-112.02312572737254,21.593167356573595,1.0283867989845374,1.019913023575189,1.0433179723502304,1.0942749400068563,1.0542077771329077,0.0,1.25702,0,0,1,1
2006-11-21,40.96359114357144,23.259876203983904,28.174346564184795,-71.67101827676238,-74.11210233967395,23.17796063973805,0.9445007317347744,1.0608399545970488,1.0493897570434585,1.0810193120786196,1.045109321058688,0.0,1.262379,0,0,1,1
2006-11-22,40.96359114357144,20.497206509271656,26.6868143809846,-71.67101827676238,-65.35248286867592,24.7124443475256,0.9589103291713964,1.0356861420691208,1.0714203828957929,1.0738789368926356,0.9898297337447152,0.0,1.262462,0,0,1,1
2006-11-23,38.95567183576288,19.19150650276231,25.344105124148065,-81.201044386423,-72.15274170562508,26.37931929500868,0.9766473988439308,1.022892112420671,1.0764813964170876,1.0990064289888954,1.031399556437493,0.0,1.113355,1,0,1,1
2006-11-24,43.06068167910794,19.40840056145128,24.298478200195014,-65.9751037344398,-43.83569045399901,27.43432012766395,0.9289305301645336,1.0112032265292406,1.0657116871305137,1.152392344497608,0.9672573641591362,0.0,1.117294,0,0,1,1
2006-11-27,44.1839973964556,21.60534848925287,23.53002379767364,-61.96403872752418,-17.011752449783756,28.2404934053711,0.9651535992663915,1.0149185741942832,1.0295426029428538,1.1462460259232086,0.9185950898625632,0.0,1.124179,0,0,1,1
2006-11-28,42.83437258004594,24.091967259205088,23.25256602045823,-68.04979253112027,-34.77325068336895,29.214724971563903,1.0001187789523698,0.9554720419086664,1.04136197440585,1.1426192458665398,0.9807737397420866,0.0,1.024207,0,0,1,1
2006-11-29,40.273930046978265,24.89750705426548,23.094713464382643,-80.08298755186723,-63.31917303879923,30.53000009418248,1.0070565721803613,0.9798190675017396,1.0369942196531792,1.2168215391946628,1.0203739213806329,0.0,1.071536,0,0,1,1
2006-11-30,42.67843564658886,26.505259850709013,23.136687429585194,-72.0608575380359,-55.87994198877632,31.75132699375686,0.9827770519064022,0.9732718894009216,1.024908592321755,1.2255859375,0.9514401333015948,0.0,1.146889,0,0,1,1
2006-12-01,43.29985628682444,28.566695195894617,23.478715118841016,-69.98616874135541,-2.9591772351574908,32.30718006935014,1.0245317220543806,0.9335170513262142,1.0097632140051622,1.2503376304481275,0.933570581257414,0.0,1.126422,0,0,1,1
2006-12-04,39.78854878657109,27.13075414666905,23.51545217734652,-86.03042876901799,-106.68013715405256,33.20391669777512,1.0279383429672448,0.9847953216374268,0.996868008948546,1.2543859649122806,0.93480875631465,0.0,1.093548,0,1,1,1
2006-12-05,39.78854878657109,25.72440964666168,23.76190552161429,-85.73446327683618,-123.85447394297016,34.11295510231703,1.017341040462428,0.9604197559028176,1.0556873376256637,1.2553930076865858,0.9457142857142856,0.0,1.063709,0,1,1,1
2006-12-06,40.434500468446,24.58268794492616,24.170453665179743,-83.08823529411765,-126.6589950134264,35.1019324177452,0.9947102668910794,0.9669269637115296,1.0511882998171846,1.2381671701913397,0.9184724051239076,0.0,1.049051,0,1,1,1
2006-12-07,39.51027621423125,24.08542903951701,24.65984591885521,-86.17363344051448,-161.55808988178893,36.169547662869775,1.021178188899708,0.9629888268156424,1.0330777154629736,1.2321358589157414,0.8617905771779731,0.0,1.034412,1,1,1,1
2006-12-08,39.51027621423125,22.207762107996448,24.93978207350973,-84.75177304964541,-129.2116366866531,37.160904676199735,1.0122625631161335,0.986731843575419,1.0399815646963937,1.245950323974082,0.7893301719027861,0.0,1.032119,1,1,1,1
2006-12-11,40.29244524311378,20.457011509204143,24.824948375504857,-79.47154471544721,-71.85914652342635,37.60449090822818,0.9791915809614924,0.9983625730994152,1.0301699225523062,1.1579911064608943,0.8334115438761146,0.0,1.026052,1,1,1,1
2006-12-12,37.82143444979069,18.17394044785076,24.233145694369423,-90.88050314465411,-123.1943308803486,38.51973101653755,0.992966286684453,1.028112449799197,0.9830111306385472,1.195345188284519,0.8335632183908046,0.0,1.010629,1,1,1,1
2006-12-13,36.86295445270464,17.017974073354488,23.445192396278323,-91.64265129683,-128.47700549641596,39.52271857531024,1.010578105781058,1.0069368382621393,0.9964614295824488,1.1975909789851358,0.8790220274478144,0.0,1.003528,1,1,1,1
2006-12-14,49.609788446257966,22.9848667435846,23.09315308556588,-12.391930835734868,49.891318245749474,37.91712212840792,0.9639607704123834,0.9879886952425811,0.9464485771902308,1.1405123103705546,0.8254593175853019,0.0,1.046395,0,1,1,1
2006-12-15,45.98503502383967,25.80480926613512,22.81696449258993,-41.78674351585024,73.16384180791037,36.42621114199861,0.9739732569245464,1.0229619730287935,0.928930530164534,1.1495963673057517,0.8299139642620781,0.0,0.973894,0,1,1,1
2006-12-18,45.98503502383967,30.22917779145189,23.12680685706821,-41.78674351585024,47.88213627992651,35.38471679062752,0.9912832929782084,0.9775549188156638,0.9684840119622729,1.1207220759684091,0.8429550984295511,0.0,0.977034,0,1,1,1
2006-12-19,43.4991719811652,32.54902181366,23.809268073768045,-62.53602305475511,-2.8835227272715187,34.75229136169058,0.9824132877381534,0.9860308285163776,0.9684840119622729,1.1421052631578947,0.8761131777702625,0.0,0.988362,1,1,1,1
2006-12-20,45.35618125295562,35.843436121169745,24.93534289139241,-50.14409221902025,36.71446273676702,34.165039177677706,0.9685870224378412,0.9843057385887144,0.9557321225879684,1.1216602460544305,0.8676356374126263,0.0,0.999524,1,1,1,1
2006-12-21,45.35618125295562,39.446390243319165,26.471439011772624,-50.14409221902025,106.57894736842172,32.375804687505045,1.038948393378773,0.98598017887358,0.9376699909338168,1.1290601457329876,0.8598414938660298,0.0,1.001624,1,1,1,1
