Date,Model_CumRet,Benchmark_CumRet,Model_CumRet_Pct,Benchmark_CumRet_Pct
2024-01-02,-0.00368472748855031,0.0,-0.368472748855031,0.0
2024-01-03,-0.0199258297833127,-0.016492454744189478,-1.9925829783312698,-1.6492454744189478
2024-01-04,-0.017912173559477162,-0.016333651027402807,-1.7912173559477162,-1.6333651027402807
2024-01-05,-0.021994793203676144,-0.01804384490049038,-2.1994793203676144,-1.804384490049038
2024-01-08,-0.01778250994316355,-0.015043728201850848,-1.778250994316355,-1.5043728201850848
2024-01-09,-0.016301603609851223,-0.01712714979556973,-1.6301603609851223,-1.712714979556973
2024-01-10,-0.01871614276076583,-0.021042921967596384,-1.871614276076583,-2.1042921967596384
2024-01-11,-0.015565160559763203,-0.016576145082660032,-1.5565160559763203,-1.6576145082660032
2024-01-12,-0.01634267176605242,-0.018397579529863317,-1.634267176605242,-1.8397579529863317
2024-01-15,-0.014956485270146147,-0.016491934928422936,-1.4956485270146147,-1.6491934928422936
2024-01-16,-0.02090491794683813,-0.027699682678465343,-2.090491794683813,-2.7699682678465343
2024-01-17,-0.023676582361467635,-0.03807338603052324,-2.3676582361467635,-3.8073386030523237
2024-01-18,-0.018577462160643043,-0.03437385721752517,-1.8577462160643043,-3.437385721752517
2024-01-19,0.01428374356483575,-0.008941870822143483,1.428374356483575,-0.8941870822143483
2024-01-22,0.01860544875454928,-0.001454964331541797,1.860544875454928,-0.1454964331541797
2024-01-23,0.020716546885776843,0.001879393905211968,2.0716546885776843,0.1879393905211968
2024-01-24,0.019389372947983707,0.0019490492179761176,1.9389372947983707,0.19490492179761176
2024-01-25,0.03042183656988051,0.009055710475093237,3.042183656988051,0.9055710475093237
2024-01-26,0.03139904408098482,0.008630241269889094,3.1399044080984817,0.8630241269889094
2024-01-29,0.035689176272376555,0.015614226006018805,3.5689176272376555,1.5614226006018805
2024-01-30,0.031696170767719245,0.01084985459453458,3.1696170767719245,1.084985459453458
