Date,Model_Return_Pct,Stock_Return_Pct,Model_Return_Ratio,Stock_Return_Ratio
2024-01-02,,,,
2024-01-03,-1.038249753499998,-2.5294965015777215,-0.01038249753499998,-0.025294965015777215
2024-01-04,-0.6954697534999998,-2.1916586637398816,-0.006954697534999998,-0.021916586637398816
2024-01-05,-1.3810297535000182,-2.8673343394155615,-0.013810297535000182,-0.028673343394155615
2024-01-08,-0.18216975350001663,-1.6857593634243329,-0.0018216975350001663,-0.01685759363424333
2024-01-09,0.3311302464999999,-1.179860063108773,0.003311302464999999,-0.01179860063108773
2024-01-10,-0.011649753499998194,-1.517697900946613,-0.00011649753499998194,-0.01517697900946613
2024-01-11,0.3311302464999999,-1.179860063108773,0.003311302464999999,-0.01179860063108773
2024-01-12,-0.011649753499998194,-1.517697900946613,-0.00011649753499998194,-0.01517697900946613
2024-01-15,0.3311302464999999,-1.179860063108773,0.003311302464999999,-0.01179860063108773
2024-01-16,-0.6954697534999998,-2.1916586637398594,-0.006954697534999998,-0.021916586637398594
2024-01-17,-0.5249497534999703,-2.0235972012621506,-0.005249497534999703,-0.020235972012621506
2024-01-18,0.6721702465000146,-0.8437371381533554,0.0067217024650001456,-0.008437371381533554
2024-01-19,7.174550246500022,5.564892303471014,0.07174550246500022,0.05564892303471014
2024-01-22,7.174550246500022,5.564892303471014,0.07174550246500022,0.05564892303471014
2024-01-23,7.517330246499987,5.902730141308821,0.07517330246499987,0.05902730141308821
2024-01-24,7.345070246499996,5.7329537659486896,0.07345070246499996,0.057329537659486896
2024-01-25,9.911570246500002,8.262450267526411,0.09911570246500001,0.08262450267526411
2024-01-26,10.254350246499989,8.600288105364262,0.10254350246499988,0.08600288105364262
2024-01-29,10.93817024649999,9.274248868157532,0.1093817024649999,0.09274248868157531
2024-01-30,9.911570246499979,8.262450267526432,0.09911570246499979,0.08262450267526433
2024-01-31,7.517330246499965,5.902730141308843,0.07517330246499965,0.05902730141308843
2024-02-01,7.517330246499965,5.902730141308843,0.07517330246499965,0.05902730141308843
2024-02-02,8.714450246499972,7.082590204417638,0.08714450246499972,0.07082590204417638
2024-02-05,10.597130246499976,8.938125943202113,0.10597130246499975,0.08938125943202113
2024-02-15,19.32323024649998,17.538414048566352,0.19323230246499978,0.17538414048566353
2024-02-16,16.92725024649997,15.17697900946635,0.1692725024649997,0.15176979009466351
2024-02-19,16.071170246499953,14.333241871312975,0.16071170246499955,0.14333241871312974
2024-02-20,17.61107024649995,15.850939772259597,0.1761107024649995,0.15850939772259598
2024-02-21,16.58447024649994,14.839141171628501,0.16584470246499938,0.148391411716285
2024-02-22,18.467150246499962,16.694676910412976,0.18467150246499964,0.16694676910412976
2024-02-23,19.323230246499957,17.538414048566352,0.19323230246499956,0.17538414048566353
2024-02-26,19.493750246499975,17.70647551104405,0.19493750246499975,0.1770647551104405
2024-02-27,19.493750246499975,17.70647551104405,0.19493750246499975,0.1770647551104405
2024-02-29,18.12437024649998,16.356839072575124,0.18124370246499977,0.16356839072575124
2024-03-01,17.953850246499982,16.188777610097404,0.1795385024649998,0.16188777610097405
2024-03-04,24.11345024649996,22.259569213883946,0.24113450246499957,0.22259569213883945
2024-03-05,24.969530246499993,23.103306352037343,0.24969530246499994,0.23103306352037345
2024-03-06,25.823870246500015,23.94532857730831,0.25823870246500014,0.2394532857730831
2024-03-07,30.102530246500024,28.16229935519281,0.30102530246500026,0.2816229935519281
2024-03-08,34.208930246500024,32.209493757717155,0.34208930246500024,0.32209493757717156
2024-03-11,30.890436307000037,29.174097955823886,0.30890436307000035,0.29174097955823886
2024-03-12,30.565575193500006,29.848058718617132,0.30565575193500005,0.2984805871861713
2024-03-13,32.10547519350004,31.36575661956378,0.32105475193500044,0.3136575661956378
2024-03-14,32.96155519350001,32.209493757717176,0.32961555193500014,0.3220949375771718
2024-03-15,30.154089901500015,26.980724379201604,0.30154089901500014,0.26980724379201604
2024-03-18,30.97492805350004,29.438194539717433,0.3097492805350004,0.2943819453971743
2024-03-19,30.630408053500034,29.09864178899717,0.30630408053500036,0.2909864178899717
2024-03-20,29.943108053500044,28.42125120043908,0.29943108053500045,0.2842125120043908
2024-03-21,34.41316805350003,32.826862395390364,0.3441316805350003,0.32826862395390366
