,equity_a2c_baseline
2024-01-02,1000000.0
2024-01-03,993271.1912062301
2024-01-04,992080.7658825378
2024-01-05,991594.5395234756
2024-01-08,1006885.7704680166
2024-01-09,1006047.8934979123
2024-01-10,1013577.527425147
2024-01-11,1014970.8549949388
2024-01-12,1014817.4705101748
2024-01-16,1014120.2702806406
2024-01-17,1013029.4380035705
2024-01-18,1027329.4999734344
2024-01-19,1039882.7049036407
2024-01-22,1043354.9487006092
2024-01-23,1046419.9653581247
2024-01-24,1054466.3471035575
2024-01-25,1058190.1490280465
2024-01-26,1057611.2941466093
2024-01-29,1069840.4135962056
2024-01-30,1068353.5797459965
2024-01-31,1054420.8147037707
2024-02-01,1068190.3400317659
2024-02-02,1068741.6695314846
2024-02-05,1068742.572703458
2024-02-06,1070689.0707442684
2024-02-07,1081915.623951784
2024-02-08,1086223.4864773655
2024-02-09,1095130.537227232
2024-02-12,1086705.0386205101
2024-02-13,1069004.0426524277
2024-02-14,1080979.1237801027
2024-02-15,1084769.06103294
2024-02-16,1076591.9296256886
2024-02-20,1072824.7854771155
2024-02-21,1065077.0439218846
2024-02-22,1088883.2271413144
2024-02-23,1083836.9720082397
2024-02-26,1090133.9732183542
2024-02-27,1089515.4356973143
2024-02-28,1089650.0306584807
2024-02-29,1092316.2167775603
2024-03-01,1111579.165572879
2024-03-04,1115680.811248538
2024-03-05,1090617.70559859
2024-03-06,1107507.1593949767
2024-03-07,1124416.4704568358
2024-03-08,1105125.5061967345
2024-03-11,1102458.8330724211
2024-03-12,1117430.6538636656
2024-03-13,1112961.752555606
2024-03-14,1104750.548681018
2024-03-15,1094452.9257047148
2024-03-18,1096818.1835858794
2024-03-19,1101677.6568372222
2024-03-20,1113844.140746829
2024-03-21,1120698.2062489958
2024-03-22,1115070.3136708708
2024-03-25,1120249.3823773833
2024-03-26,1121131.2269818755
2024-03-27,1125183.0806081267
2024-03-28,1119548.8405301543
2024-04-01,1116804.8422582122
2024-04-02,1097561.7309224578
2024-04-03,1101018.922450778
2024-04-04,1086022.2516400786
2024-04-05,1095146.540042636
2024-04-08,1097594.7730023833
2024-04-09,1101828.767398593
2024-04-10,1091721.6154630156
2024-04-11,1103401.7035188111
2024-04-12,1086262.0511315116
2024-04-15,1070297.0573323288
2024-04-16,1071687.1314683398
2024-04-17,1051136.923588087
2024-04-18,1045307.464244936
2024-04-19,1035326.2034355411
2024-04-22,1047485.5146445389
2024-04-23,1058447.2953625564
2024-04-24,1059921.00713509
2024-04-25,1060440.845918354
2024-04-26,1063482.195209202
2024-04-29,1065463.239021
2024-04-30,1043180.302785572
2024-05-01,1038638.8099858131
2024-05-02,1045550.8763539161
2024-05-03,1067079.8692700234
2024-05-06,1074708.5746384868
2024-05-07,1078434.1888962993
2024-05-08,1077130.3860360393
2024-05-09,1084217.4041367779
2024-05-10,1088619.2862397442
2024-05-13,1086704.4588242779
2024-05-14,1088297.2041779766
2024-05-15,1109366.1841813335
2024-05-16,1107068.6531602154
2024-05-17,1112806.5209221812
2024-05-20,1120976.6411131697
2024-05-21,1118045.8444823103
2024-05-22,1120088.3360976058
2024-05-23,1113318.5817450362
2024-05-24,1127434.1086806136
2024-05-28,1127311.8149107771
2024-05-29,1113014.9389342146
2024-05-30,1109476.9181059676
2024-05-31,1114477.7524107771
2024-06-03,1120260.2432707625
2024-06-04,1124618.3039664107
2024-06-05,1155246.2696684676
2024-06-06,1157222.3701857405
2024-06-07,1151709.4838560896
2024-06-10,1153190.9383543807
2024-06-11,1154316.2728041487
2024-06-12,1168633.753295787
2024-06-13,1161210.0500372725
2024-06-14,1163116.9715880232
2024-06-17,1180060.442886241
2024-06-18,1183616.5990446883
2024-06-20,1176468.4678038436
2024-06-21,1173796.5700301009
2024-06-24,1163196.2844542342
2024-06-25,1176236.856117137
2024-06-26,1174287.1836317854
2024-06-27,1181607.4649657088
2024-06-28,1174957.4761504012
2024-07-01,1176242.864257701
2024-07-02,1188328.062454112
2024-07-03,1193993.6552962142
2024-07-05,1204852.87636555
2024-07-08,1204323.6485670882
2024-07-09,1200483.8655775862
2024-07-10,1216187.9736479598
2024-07-11,1197819.5720213728
2024-07-12,1210613.9012831526
2024-07-15,1213122.265075572
2024-07-16,1220351.142433055
2024-07-17,1181666.7054289656
2024-07-18,1169850.6262129622
2024-07-19,1170105.5589827376
2024-07-22,1187833.3486784773
2024-07-23,1178262.0995711165
2024-07-24,1142069.3072279769
2024-07-25,1132235.558990367
2024-07-26,1138849.267532237
2024-07-29,1136485.5923537093
2024-07-30,1127825.3030852156
2024-07-31,1156936.768592723
2024-08-01,1140038.947700389
2024-08-02,1112385.2145384627
2024-08-05,1086957.7119292098
2024-08-06,1102679.1482466536
2024-08-07,1090922.8291930037
2024-08-08,1123539.6425856429
2024-08-09,1125662.363677867
