,equity_ddpg_baseline
2024-01-02,1000000.0
2024-01-03,986660.1043920667
2024-01-04,985132.7874341295
2024-01-05,987170.861510144
2024-01-08,1002072.0482576949
2024-01-09,1000251.7112320525
2024-01-10,1006473.10129057
2024-01-11,1005591.4615505798
2024-01-12,1013138.5535143478
2024-01-16,1016478.8026407821
2024-01-17,1007400.7412108047
2024-01-18,1021087.2029083831
2024-01-19,1040534.5191095931
2024-01-22,1050376.0091885193
2024-01-23,1056062.682528363
2024-01-24,1055991.7925108536
2024-01-25,1054538.116075383
2024-01-26,1056337.4586495026
2024-01-29,1066600.3466013535
2024-01-30,1060004.107206212
2024-01-31,1045074.8358229263
2024-02-01,1059957.7532242402
2024-02-02,1057635.2363928421
2024-02-05,1055963.1082113846
2024-02-06,1046315.4985083205
2024-02-07,1051776.2088812455
2024-02-08,1067556.0989702805
2024-02-09,1076911.103604184
2024-02-12,1068272.3967331513
2024-02-13,1049520.5502728089
2024-02-14,1067104.741874562
2024-02-15,1075453.6953934296
2024-02-16,1069483.541276799
2024-02-20,1060825.958630429
2024-02-21,1060567.895229207
2024-02-22,1090131.2336567505
2024-02-23,1068646.2924374207
2024-02-26,1068969.329285489
2024-02-27,1065989.6298054322
2024-02-28,1063537.0265701874
2024-02-29,1066245.07168089
2024-03-01,1085547.065534459
2024-03-04,1076655.9418057068
2024-03-05,1055850.014164792
2024-03-06,1064740.9729689225
2024-03-07,1078459.62109171
2024-03-08,1061281.8474348648
2024-03-11,1061497.5407751664
2024-03-12,1069952.0677517517
2024-03-13,1060876.6857050522
2024-03-14,1054257.9707077607
2024-03-15,1041215.053255902
2024-03-18,1043920.5578001601
2024-03-19,1047865.6313360793
2024-03-20,1057017.128286229
2024-03-21,1067835.3917339905
2024-03-22,1065631.8705834015
2024-03-25,1059290.1051605805
2024-03-26,1058265.703963147
2024-03-27,1061450.7874954804
2024-03-28,1060339.8108595475
2024-04-01,1062250.530588971
2024-04-02,1044847.9623716933
2024-04-03,1046543.72791277
2024-04-04,1032161.9521568877
2024-04-05,1043788.0144003493
2024-04-08,1047812.1352537734
2024-04-09,1051913.5408714875
2024-04-10,1037394.7985800368
2024-04-11,1047630.2348431213
2024-04-12,1023916.575240956
2024-04-15,1010343.2384899718
2024-04-16,1009868.644467221
2024-04-17,998399.5966108901
2024-04-18,987550.3657673461
2024-04-19,977257.8853548629
2024-04-22,985098.2607449157
2024-04-23,1001777.7619560821
2024-04-24,1005452.8363560302
2024-04-25,1004831.5155361755
2024-04-26,1017539.8828228576
2024-04-29,1025446.7412661178
2024-04-30,1013471.8804696662
2024-05-01,1007795.6794823272
2024-05-02,1025395.3484791381
2024-05-03,1052593.7637771233
2024-05-06,1064756.103100644
2024-05-07,1066832.6029847725
2024-05-08,1069179.1333778962
2024-05-09,1068664.8517483338
2024-05-10,1073867.884408818
2024-05-13,1070881.0581349
2024-05-14,1076883.7369755371
2024-05-15,1094428.5711353882
2024-05-16,1090735.9489592179
2024-05-17,1094514.4266594513
2024-05-20,1107500.9818266495
2024-05-21,1106207.9718097313
2024-05-22,1104014.4548023804
2024-05-23,1095468.9518116578
2024-05-24,1096726.5736507042
2024-05-28,1100290.0404900177
2024-05-29,1089955.3309477433
2024-05-30,1088095.2870882615
2024-05-31,1096045.3506983384
2024-06-03,1093175.860872136
2024-06-04,1087423.8633020981
2024-06-05,1107561.83015524
2024-06-06,1108101.199210988
2024-06-07,1101486.2831495865
2024-06-10,1107475.1752251252
2024-06-11,1105618.5726040467
2024-06-12,1121893.2002433403
2024-06-13,1118461.106295453
2024-06-14,1116905.4566935166
2024-06-17,1129021.8958815201
2024-06-18,1133628.565671788
2024-06-20,1129447.540972577
2024-06-21,1132664.0567239388
2024-06-24,1124202.9208015068
2024-06-25,1139620.7548578843
2024-06-26,1141619.3953055008
2024-06-27,1141278.7221311196
2024-06-28,1139588.6326497658
2024-07-01,1134152.292992936
2024-07-02,1143437.7563923462
2024-07-03,1145707.018802987
2024-07-05,1160614.9954422577
2024-07-08,1165599.0348428353
2024-07-09,1165845.682350026
2024-07-10,1175290.583519326
2024-07-11,1163826.8576878174
2024-07-12,1181550.7219833
2024-07-15,1182206.6757639511
2024-07-16,1189317.5469630822
2024-07-17,1151333.9746740921
2024-07-18,1138803.586242543
2024-07-19,1134740.1712473496
2024-07-22,1159545.2196282013
2024-07-23,1152121.3908623322
2024-07-24,1121008.4509304627
2024-07-25,1112382.4804056748
2024-07-26,1133840.1031864746
2024-07-29,1132874.4739359482
2024-07-30,1122395.0256088837
2024-07-31,1154229.5973528489
2024-08-01,1126272.8227604493
2024-08-02,1122329.6540449723
2024-08-05,1101291.8964375122
2024-08-06,1115168.480835305
2024-08-07,1115050.8731049164
2024-08-08,1152464.7210572823
2024-08-09,1154363.749329911
2024-08-12,1152366.2439468964
2024-08-13,1175667.90790783
2024-08-14,1172509.033985959
2024-08-15,1206218.7530115708
2024-08-16,1204630.6913450821
2024-08-19,1220153.4947498902
2024-08-20,1214893.3178819283
2024-08-21,1225200.297194825
2024-08-22,1207865.6414679154
2024-08-23,1213478.1567467316
2024-08-26,1205528.4212950333
2024-08-27,1217521.3295849427
2024-08-28,1205883.6421035393
2024-08-29,1209199.062160836
2024-08-30,1222946.607414113
2024-09-03,1180266.64189087
2024-09-04,1179967.330055581
2024-09-05,1174668.228727208
2024-09-06,1147186.6774886712
2024-09-09,1164068.1330803498
2024-09-10,1166103.366221772
2024-09-11,1187812.6576818093
2024-09-12,1206480.9789579972
2024-09-13,1211064.4458292588
2024-09-16,1206431.7127903565
2024-09-17,1197938.8567646607
2024-09-18,1192181.0958307846
2024-09-19,1215720.6132982834
2024-09-20,1204495.261426793
2024-09-23,1202372.4775541886
2024-09-24,1200856.42354189
2024-09-25,1199658.4724129303
2024-09-26,1208967.6643303498
2024-09-27,1201262.6751927002
2024-09-30,1200631.081027852
2024-10-01,1190576.308799611
2024-10-02,1184718.4380172356
2024-10-03,1175853.886640416
2024-10-04,1182764.566529618
2024-10-07,1171801.4660552605
2024-10-08,1188488.9637359246
2024-10-09,1204235.6500590905
2024-10-10,1197505.2234753235
2024-10-11,1208107.1442369088
