quarter_start,chosen_model,val_mse,n_universe,top_k,tic,y_pred
2024-01-01,Linear,0.024177294136760855,94,19,INTU,0.14264240432625153
2024-01-01,Linear,0.024177294136760855,94,19,AMD,0.11374799137621068
2024-01-01,Linear,0.024177294136760855,94,19,APP,0.10041110519709855
2024-01-01,Linear,0.024177294136760855,94,19,MRVL,0.08959978035807324
2024-01-01,Linear,0.024177294136760855,94,19,QCOM,0.08845973478274934
2024-01-01,Linear,0.024177294136760855,94,19,MU,0.08765467206361822
2024-01-01,Linear,0.024177294136760855,94,19,FANG,0.07988288019250592
2024-01-01,Linear,0.024177294136760855,94,19,TTWO,0.07880292965664795
2024-01-01,Linear,0.024177294136760855,94,19,ABNB,0.07618043121136273
2024-01-01,Linear,0.024177294136760855,94,19,TXN,0.07445501727051612
2024-01-01,Linear,0.024177294136760855,94,19,MAR,0.073599431203894
2024-01-01,Linear,0.024177294136760855,94,19,INTC,0.07327313429845914
2024-01-01,Linear,0.024177294136760855,94,19,XEL,0.07261416439026272
2024-01-01,Linear,0.024177294136760855,94,19,FTNT,0.07259714630935929
2024-01-01,Linear,0.024177294136760855,94,19,AEP,0.07076085467708605
2024-01-01,Linear,0.024177294136760855,94,19,SHOP,0.06916468071216246
2024-01-01,Linear,0.024177294136760855,94,19,PYPL,0.06908974860571696
2024-01-01,Linear,0.024177294136760855,94,19,WDC,0.0680723716112728
2024-01-01,Linear,0.024177294136760855,94,19,PLTR,0.06576360449246911
2024-04-01,Linear,0.02500241387391492,94,19,INTC,0.15630541353994076
2024-04-01,Linear,0.02500241387391492,94,19,NFLX,0.11175349359897671
2024-04-01,Linear,0.02500241387391492,94,19,LITE,0.10128101590402079
2024-04-01,Linear,0.02500241387391492,94,19,STX,0.09218468268964461
2024-04-01,Linear,0.02500241387391492,94,19,MRVL,0.09046101033316603
2024-04-01,Linear,0.02500241387391492,94,19,DDOG,0.09040797365096329
2024-04-01,Linear,0.02500241387391492,94,19,MU,0.0856613679568945
2024-04-01,Linear,0.02500241387391492,94,19,CRWD,0.08460398963663268
2024-04-01,Linear,0.02500241387391492,94,19,FER,0.08447613447764334
2024-04-01,Linear,0.02500241387391492,94,19,XEL,0.07887860522815218
2024-04-01,Linear,0.02500241387391492,94,19,FTNT,0.07785856654272233
2024-04-01,Linear,0.02500241387391492,94,19,QCOM,0.07567737352125023
2024-04-01,Linear,0.02500241387391492,94,19,MSTR,0.07456673743257838
2024-04-01,Linear,0.02500241387391492,94,19,PYPL,0.0738165725050691
2024-04-01,Linear,0.02500241387391492,94,19,TSLA,0.0732346356766557
2024-04-01,Linear,0.02500241387391492,94,19,WDC,0.072716071009403
2024-04-01,Linear,0.02500241387391492,94,19,WMT,0.07211540277784978
2024-04-01,Linear,0.02500241387391492,94,19,TXN,0.06701838009335154
2024-04-01,Linear,0.02500241387391492,94,19,KDP,0.06679835297736451
2024-07-01,Ridge,0.025053297360817597,94,19,LITE,0.1263205720242241
2024-07-01,Ridge,0.025053297360817597,94,19,FER,0.10943450510425648
2024-07-01,Ridge,0.025053297360817597,94,19,STX,0.10534997082411789
2024-07-01,Ridge,0.025053297360817597,94,19,INTU,0.10225501953800865
2024-07-01,Ridge,0.025053297360817597,94,19,XEL,0.09088533158308423
2024-07-01,Ridge,0.025053297360817597,94,19,WDAY,0.08848704920125543
2024-07-01,Ridge,0.025053297360817597,94,19,IDXX,0.08197932526384909
2024-07-01,Ridge,0.025053297360817597,94,19,KHC,0.08182490990510849
2024-07-01,Ridge,0.025053297360817597,94,19,PEP,0.08068370451517327
2024-07-01,Ridge,0.025053297360817597,94,19,CSCO,0.07812546621702557
2024-07-01,Ridge,0.025053297360817597,94,19,PAYX,0.07753801533877638
2024-07-01,Ridge,0.025053297360817597,94,19,PYPL,0.0763991256618082
2024-07-01,Ridge,0.025053297360817597,94,19,TSLA,0.0752902727926705
2024-07-01,Ridge,0.025053297360817597,94,19,WBD,0.07051207049855418
2024-07-01,Ridge,0.025053297360817597,94,19,ADSK,0.06965921086441111
2024-07-01,Ridge,0.025053297360817597,94,19,CMCSA,0.06698626545241865
2024-07-01,Ridge,0.025053297360817597,94,19,MELI,0.06639535751619213
2024-07-01,Ridge,0.025053297360817597,94,19,MDLZ,0.06639207827362853
2024-07-01,Ridge,0.025053297360817597,94,19,INTC,0.06509602539911963
2024-10-01,RF,0.027042778893105603,94,19,MSTR,0.1697953871267529
2024-10-01,RF,0.027042778893105603,94,19,TTWO,0.10788242046287679
2024-10-01,RF,0.027042778893105603,94,19,SHOP,0.10404302713685386
2024-10-01,RF,0.027042778893105603,94,19,ABNB,0.10137088913528731
2024-10-01,RF,0.027042778893105603,94,19,ALNY,0.09947687383125084
2024-10-01,RF,0.027042778893105603,94,19,DXCM,0.09808813070415193
2024-10-01,RF,0.027042778893105603,94,19,TSLA,0.09745686850952692
2024-10-01,RF,0.027042778893105603,94,19,QCOM,0.08995975831050398
2024-10-01,RF,0.027042778893105603,94,19,ASML,0.08004822228931183
2024-10-01,RF,0.027042778893105603,94,19,IDXX,0.07850797320762203
2024-10-01,RF,0.027042778893105603,94,19,WBD,0.07759275503602998
2024-10-01,RF,0.027042778893105603,94,19,TXN,0.07657453880785392
2024-10-01,RF,0.027042778893105603,94,19,MELI,0.07621995435648472
2024-10-01,RF,0.027042778893105603,94,19,CPRT,0.07346143067696392
2024-10-01,RF,0.027042778893105603,94,19,FTNT,0.07338126198618128
2024-10-01,RF,0.027042778893105603,94,19,AMGN,0.0712274106126786
2024-10-01,RF,0.027042778893105603,94,19,BKNG,0.07101784989963394
2024-10-01,RF,0.027042778893105603,94,19,NXPI,0.07073365647130365
2024-10-01,RF,0.027042778893105603,94,19,VRTX,0.07017889572457257
2025-01-01,RF,0.034283439218135425,94,19,PEP,0.14195171328832315
2025-01-01,RF,0.034283439218135425,94,19,WBD,0.13132868697594305
2025-01-01,RF,0.034283439218135425,94,19,IDXX,0.11868203914181008
2025-01-01,RF,0.034283439218135425,94,19,MSTR,0.0988001032844413
2025-01-01,RF,0.034283439218135425,94,19,KHC,0.0936634201618138
2025-01-01,RF,0.034283439218135425,94,19,TTWO,0.09121418595660835
2025-01-01,RF,0.034283439218135425,94,19,SNPS,0.08800431465107275
2025-01-01,RF,0.034283439218135425,94,19,LITE,0.08679299916408281
2025-01-01,RF,0.034283439218135425,94,19,MRVL,0.08411291620206589
2025-01-01,RF,0.034283439218135425,94,19,MPWR,0.08291981250446154
2025-01-01,RF,0.034283439218135425,94,19,PANW,0.08289743283244004
2025-01-01,RF,0.034283439218135425,94,19,NXPI,0.08037867690661957
2025-01-01,RF,0.034283439218135425,94,19,QCOM,0.07859115939732625
2025-01-01,RF,0.034283439218135425,94,19,REGN,0.07844338985678385
2025-01-01,RF,0.034283439218135425,94,19,MDLZ,0.07806879116229065
2025-01-01,RF,0.034283439218135425,94,19,ASML,0.07695206425407602
2025-01-01,RF,0.034283439218135425,94,19,AMAT,0.0764027725953427
2025-01-01,RF,0.034283439218135425,94,19,MCHP,0.07497206169973632
2025-01-01,RF,0.034283439218135425,94,19,PCAR,0.07400632096672138
2025-04-01,Lasso,0.03261589672336154,95,19,STX,0.1266500447383354
2025-04-01,Lasso,0.03261589672336154,95,19,MSTR,0.11484079882596503
2025-04-01,Lasso,0.03261589672336154,95,19,MCHP,0.11060467173073363
2025-04-01,Lasso,0.03261589672336154,95,19,INTC,0.09619816802608272
2025-04-01,Lasso,0.03261589672336154,95,19,ADI,0.09250654198966535
2025-04-01,Lasso,0.03261589672336154,95,19,VRTX,0.09137828850768884
2025-04-01,Lasso,0.03261589672336154,95,19,TXN,0.08317958405734621
2025-04-01,Lasso,0.03261589672336154,95,19,KHC,0.0810479201218273
2025-04-01,Lasso,0.03261589672336154,95,19,CSCO,0.08101624840449165
2025-04-01,Lasso,0.03261589672336154,95,19,EA,0.08021181947685968
2025-04-01,Lasso,0.03261589672336154,95,19,GILD,0.07993122706105663
2025-04-01,Lasso,0.03261589672336154,95,19,ORLY,0.07924979261189659
