,equity_ppo_ac
2024-01-02,1000000.0
2024-01-03,999748.5247853226
2024-01-04,999756.6829139021
2024-01-05,999939.6860489621
2024-01-08,1000910.207673193
2024-01-09,1000209.7027111715
2024-01-10,1001091.4315279482
2024-01-11,1001369.4702871873
2024-01-12,1000578.8228525436
2024-01-16,1000422.6790849523
2024-01-17,999462.2448424568
2024-01-18,1000469.5272013074
2024-01-19,1003155.6962888038
2024-01-22,1003915.8848440289
2024-01-23,1001603.3038306615
2024-01-24,999840.9254112624
2024-01-25,1002859.3166600202
2024-01-26,1004257.5082028036
2024-01-29,1006773.6325730189
2024-01-30,1009051.7550429187
2024-01-31,1003761.899054633
2024-02-01,1007402.9909100207
2024-02-02,1008614.0905270074
2024-02-05,1005700.3195321187
2024-02-06,1008425.801228276
2024-02-07,1013078.128777789
2024-02-08,1015983.3929501905
2024-02-09,1014288.4914717822
2024-02-12,1017491.9087202052
2024-02-13,1005154.465970993
2024-02-14,1007976.1370792402
2024-02-15,1016485.0834109436
2024-02-16,1014777.5089866284
2024-02-20,1013725.4306351175
2024-02-21,1016391.6153922749
2024-02-22,1026582.922047718
2024-02-23,1026793.5718258522
2024-02-26,1026740.7330611148
2024-02-27,1027317.3031067171
2024-02-28,1028813.88212517
2024-02-29,1031589.60319857
2024-03-01,1035025.4510685009
2024-03-04,1031331.3482654097
2024-03-05,1019950.1761718858
2024-03-06,1020795.0706270573
2024-03-07,1021691.5579109016
2024-03-08,1021263.7956181226
2024-03-11,1024651.8334282365
2024-03-12,1030846.7347075146
2024-03-13,1036826.7515918004
2024-03-14,1030903.529713245
2024-03-15,1026498.2197104231
2024-03-18,1027585.7558943114
2024-03-19,1038235.3026472861
2024-03-20,1051553.5002563738
2024-03-21,1064981.1622605128
2024-03-22,1055923.272203606
2024-03-25,1048972.0459150504
2024-03-26,1047279.5447152356
2024-03-27,1061367.2192330451
2024-03-28,1062417.169632529
2024-04-01,1050658.8477366406
2024-04-02,1040397.2898436346
2024-04-03,1038333.8463655767
2024-04-04,1024208.3215797149
2024-04-05,1030227.551479192
2024-04-08,1033806.7752175148
2024-04-09,1035426.8863908557
2024-04-10,1018181.0615402585
2024-04-11,1016668.6703273722
2024-04-12,1003119.3704228296
2024-04-15,1000715.2853341071
2024-04-16,997711.0688184141
2024-04-17,1000936.9614479406
2024-04-18,1001923.4523216048
2024-04-19,1007586.7860442927
2024-04-22,1017751.6274832943
2024-04-23,1026774.319339458
2024-04-24,1023579.2675194516
2024-04-25,1017827.7019094933
2024-04-26,1024408.7922519372
2024-04-29,1030400.5387101835
2024-04-30,1021238.000979934
2024-05-01,1021563.556863754
2024-05-02,1031007.5083691662
2024-05-03,1044697.0007672874
2024-05-06,1049920.4574172383
2024-05-07,1048333.7955361635
2024-05-08,1050975.2284821048
2024-05-09,1064455.551431653
2024-05-10,1065271.115420236
2024-05-13,1062832.8674410693
2024-05-14,1066368.0742605338
2024-05-15,1078415.186313762
2024-05-16,1076993.2316472083
2024-05-17,1080544.8572113465
2024-05-20,1072505.1142960782
2024-05-21,1075956.4321970271
2024-05-22,1065987.7444300558
2024-05-23,1050922.4185965403
2024-05-24,1052982.1339370215
2024-05-28,1051423.861431255
2024-05-29,1044162.4564823263
2024-05-30,1044275.9164270709
2024-05-31,1058338.211156752
2024-06-03,1053869.7530703046
2024-06-04,1058199.8749779605
2024-06-05,1063365.4861868313
2024-06-06,1063360.9379588328
2024-06-07,1060040.2688542402
2024-06-10,1061917.6079835608
2024-06-11,1061823.295144993
2024-06-12,1067784.8017155956
2024-06-13,1068079.7559123482
