day,cost_$,turnover_$,pov
0,95.20070362689643,190289.46620178223,2.127492829234094e-05
1,94.422777774695,188734.78720092773,2.127492829234094e-05
2,94.40083466568949,188690.87007904053,2.127492829234094e-05
3,94.44959305639252,188788.33671569824,2.127492829234094e-05
4,95.44841445744176,190785.00859832764,2.127492829234094e-05
5,26.12086801530524,52211.48801262747,2.1189332688531143e-05
6,49.00345825389485,97969.5830514507,1.0437788766362445e-05
7,49.96013404997812,99882.507242659,1.04251586483919e-05
8,31.553283753405644,63087.17971795557,7.972762302048434e-06
9,18.17785731619684,36344.924437605674,7.697654771132615e-06
10,20.536538645297775,41062.567012160325,1.0752775021763319e-05
11,23.25516065950585,46495.533871322914,8.106131598051075e-06
12,11.841672732362376,23677.87110345172,8.886495275577853e-06
13,25.660182686315974,51308.22101238204,6.7473505004735215e-06
14,15.581492660730586,31158.31817317179,5.908567020038141e-06
15,15.571292253169846,31137.938778547614,5.913497783486797e-06
16,11.811367071907357,23617.44618602868,8.83013850935018e-06
17,22.152660071406732,44294.75345259949,6.9985453643654395e-06
18,39.992315149374086,79949.52692618364,1.351122456792482e-05
19,53.357905751919525,106667.00526868655,1.324666353922866e-05
20,25.15497433219743,50291.79886783089,7.5750837655599675e-06
21,49.26544583531125,98488.61263644007,9.530982142998547e-06
22,32.08944116560887,64149.25195898087,9.708319043521898e-06
23,28.358809565012088,56688.24246301809,1.0663573815602962e-05
24,8.23275634064691,16462.394181525564,3.7060357147525493e-06
25,10.062564448401137,20120.79487268539,4.0198985507200046e-06
26,10.351803352757269,20699.008304069113,4.153795184872922e-06
27,23.462682618018995,46915.76590930093,7.415809380177486e-06
28,7.328677193398443,14654.994076712848,2.8584372196775146e-06
29,10.184435466990964,20365.274101149967,6.533395490144725e-06
30,15.654488824101275,31301.126990057735,9.79762358739521e-06
31,7.522766263986325,15041.811715463482,9.345333101515554e-06
32,4.297864312649819,8593.3330637269,8.864742440567645e-06
33,6.038578392350195,12072.539561866435,1.2868430727239453e-05
34,5.085010804780236,10168.749767027251,3.3883745512357036e-06
35,24.08984285110054,48162.38201994186,1.1823679452012186e-05
36,20.990209459755736,41967.41088306954,1.029739312152213e-05
37,3.675349294159138,7349.9822129617,3.0863964138595434e-06
38,6.082239856768693,12162.20929456706,6.4238148508809665e-06
39,21.38700963110269,42757.98164271265,1.2850974582401794e-05
40,10.87057863338445,21734.076641215244,1.1025983684691183e-05
41,10.700856708035982,21394.978495098603,1.0686452313123634e-05
42,0.24360009961758225,487.19185522411493,4.6553323018242763e-07
43,1.7874726221503985,3574.7431670262868,1.9713608812949946e-06
44,1.0144133722729109e-28,2.0288267445458217e-25,2.5497446277844463e-34
45,7.83225420800249e-65,1.566450841600498e-61,1.603986783334587e-70
46,1.2034314439158673,2406.7237230970995,2.1951213009840098e-06
47,0.4588240638635035,917.6269303306677,8.278990379065787e-07
48,1.237682761265862,2475.3011355981093,1.1315426333654156e-06
49,42.97912339299976,85922.11011000544,1.3910539827739363e-05
50,11.749732352891655,23491.772584147533,9.914619435162216e-06
51,3.5503965152104273,7100.167315887133,2.915652933653666e-06
52,3.537531335429697,7074.442693273945,2.8891704458964917e-06
53,19.37824802130737,38745.0662099865,8.928150316983006e-06
54,13.471043065387944,26933.80988650004,9.86625185228933e-06
55,2.056499448451879,4112.810321840682,1.4438491169462746e-06
56,3.702127009783526,7403.245443790997,5.269007499800408e-06
57,17.323862621584297,34634.92369597216,9.024710056933717e-06
58,5.81818175318821,11634.651575326892,4.698131921376938e-06
59,13.520792695039043,27034.195302275664,6.262279281103899e-06
60,6.786221733254282,13570.470583686667,3.4338046105303977e-06
61,16.135325569421767,32257.622731071206,1.3082490727663152e-05
62,16.869659584750142,33726.21858199239,1.2860040150386756e-05
63,16.582686348905465,33152.217911795626,1.2964814216629118e-05
64,22.85189146785097,45683.318214078,1.011345456899938e-05
65,34.91117385844327,69779.63068099995,1.7099653347673262e-05
66,15.430925013426783,30848.348799107665,1.582433372332963e-05
67,29.73329781986545,59428.10457754635,1.8381821283413485e-05
68,6.540030199830393,13077.938424390315,5.11504191691216e-06
69,7.727771404938708,15452.661793109222,5.502856650478874e-06
70,5.763148201557308,11524.648655997662,4.355578976964227e-06
71,5.4937860383671895,10985.246555148156,7.77965445742852e-06
72,2.954381008299124,5908.217616062012,2.472587093361067e-06
73,2.4859740170834232,4971.519290265143,2.836033795052757e-06
74,3.1104913752657635,6220.183728595438,4.610309987119956e-06
75,3.1127505739755374,6224.710766271728,4.5722528447768875e-06
76,2.562060921441578,5123.6724361488705,2.857579356485371e-06
77,11.242730644635651,22478.099676582864,1.1402078363126459e-05
78,10.956182528061692,21905.433710050063,1.100164087830041e-05
79,4.755154648846303,9509.268816908769,3.3335187172412362e-06
80,3.0859831587508992,6171.568222163514,1.9490349204030068e-06
81,0.7220041820288264,1443.9866139820338,4.524666465247803e-07
82,0.5425104020735318,1085.0087896467548,3.2938708464347825e-07
83,0.8485490214407775,1697.028159962934,2.1463116459495297e-06
84,0.9069529198925272,1813.8725575781543,5.442634093955924e-07
85,0.9229569350206499,1845.879258641151,5.621165679701124e-07
86,1.0025641122099451,2005.0659478506802,1.3366087077359265e-06
87,1.0169447038885053,2033.8093187238458,1.917741065510833e-06
88,0.9405954042302112,1881.1558096250667,5.556225125180157e-07
89,1.4123755656251932e-48,2.824751131250385e-45,1.572402496477567e-54
90,3.66144722854025,7322.210378943334,3.834011300584483e-06
91,1.451067644665814,2902.0114186224246,1.3382150487532949e-06
92,0.2058756582845209,411.74709675382485,5.363533229062332e-07
93,0.20694436907427663,413.88448629498816,5.364681515814346e-07
94,0.552380723206126,1104.7488888080438,3.944745195021764e-07
95,0.5618325537526555,1123.6520956689033,4.0487653556281225e-07
96,0.38678734104148615,773.5678940554428,3.148651446573315e-07
97,0.38457069260578064,769.1346630110074,3.135604810725053e-07
98,3.1010547482660518,6201.719123220742,1.8728507948997238e-06
99,0.4246904869907651,849.3738934973842,3.8250134177939587e-07
100,0.4155540811360031,831.1014136923013,3.6812933492977983e-07
101,2.8786400277173487,5756.947287706657,1.8167867931703266e-06
102,1.0312674618181301,2062.4936653995096,9.007752796997056e-07
103,1.4502372374523969,2900.392841375829,8.731725794907316e-07
104,2.9585540659479754,5916.7620880238965,1.8488953074764675e-06
105,0.42431396704968083,848.6209130837315,3.783186356929546e-07
106,2.7133343614415715,5426.377150257699,1.6897578167989039e-06
107,2.6193404829888065,5238.401380952558,2.4883707842379414e-06
108,4.833106962644451,9665.17333224634,3.4987825800708105e-06
109,1.128778295343574,2257.506170435125,7.296887304249224e-07
110,1.6213507031398173e-30,3.242701406279634e-27,1.7570595223276682e-36
111,1.4391745081523624,2878.1488687047377,3.7497152487392464e-06
112,1.6587792614465497,3317.2938574573036,4.285401173054778e-06
113,2.5745550334723353,5148.489898091528,6.428771108671701e-06
114,2.572224508633992,5143.826335061679,6.429815712579293e-06
115,1.9732100532200474,3946.029231353029,5.129612049930835e-06
116,0.6032042214412613,1206.3757081320746,9.593449942065592e-07
117,0.7047306450471676,1409.4050868598356,1.4004086422870243e-06
118,0.5988345695004162,1197.6373409676091,9.446260663508595e-07
119,2.8826233948145834,5764.637121478232,4.222571264424942e-06
120,4.740486223387766,9479.55791465552,5.477830198300373e-06
121,7.94614902011266,15888.221423001372,9.920057057699324e-06
122,4.1498178472308105,8298.467252450553,5.800831030928044e-06
123,0.21028673121294694,420.56885755589644,5.927523498088362e-07
124,0.32759281451921496,655.1773205155589,5.157044247156993e-07
125,2.9280061311165304,5855.661288303021,2.8593221243902087e-06
126,5.142590672723457,10283.998003809698,4.224114326119431e-06
127,3.0684429448849544,6136.498665209411,2.1418325760193153e-06
128,2.8134284897816197,5626.523180396937,2.8156218882870336e-06
129,2.8650533948110586,5729.764035960656,2.84929028600137e-06
130,1.0770504975095334,2154.049384895407,1.1347016051062286e-06
131,4.6597319094033764,9318.163632348409,4.4698120343653645e-06
132,4.44660011369043,8891.774957503498,6.598594992179865e-06
133,7.832569237975885e-15,1.5665138475951763e-11,4.3030102337733264e-21
134,0.1952686586935689,390.5347118100564,2.545294493603399e-07
135,0.15642866868978667,312.85574784498203,1.9189860244588873e-07
136,0.15846160060026784,316.92158600682154,1.9203385351046407e-07
137,0.16049453197743563,320.9874241691944,1.9213805736415475e-07
138,0.15721331311879416,314.425031559928,1.9182204740358912e-07
139,0.15649999522703284,312.9984072313355,1.9170817465356428e-07
140,0.15785526646790138,315.7089355050165,1.9172143779823516e-07
141,0.19892437090158974,397.84608142743826,2.5481512599822933e-07
142,0.20012806034306396,400.2534394445397,2.550411054119132e-07
143,0.2002172458442457,400.43180179712454,2.553960790324377e-07
144,0.2015547131511857,403.10670334348947,2.561168909819226e-07
145,0.20084141696646446,401.6801095107679,2.5665433110887555e-07
146,0.15878264237278655,317.5635684319373,2.0490674918705864e-07
147,1.9454974885826564,3890.727537179386,2.7357281197997134e-06
148,0.6056071400160835,1211.1899556041244,7.951226126390368e-07
149,0.7599084951889792,1519.7619420907483,1.1682070674116828e-06
150,5.511656104522929,11021.259645165008,6.414446121288222e-06
151,1.5532180659683674,3106.1915329105937,2.6746954092092758e-06
152,1.543359068925135,3086.476538392012,2.664589563560195e-06
153,3.2220080952545493,6443.344276084433,4.195857862379044e-06
154,3.2914563408166817,6582.219102741214,4.230655079731504e-06
155,2.123766932027213,4247.199048009378,3.3251096822161208e-06
156,0.4367381291829695,873.465575103296,4.023233790593531e-07
157,0.36499606280646846,729.9840112860683,3.639686905615504e-07
158,0.25451333193893255,509.02124350399856,5.321151582610451e-07
159,0.2563381007657426,512.6707248875155,5.331247609780217e-07
160,1.1932249601805838,2386.357068008569,1.4813236055841741e-06
161,1.1424535245727008,2284.8198267488656,1.4323157512374076e-06
162,1.1438653777449899,2287.643366067568,1.434029706199899e-06
163,2.3296072402475216,4658.872190245103,2.991132149529851e-06
164,1.4925946508421541,2985.0185747827513,1.9376999514385136e-06
165,1.489038566056758,2977.9056147542556,1.950789013170444e-06
166,2.833073383699407,5665.608882182706,3.0108847828079995e-06
167,1.070385336596355,2140.6912113430913,1.3633290938231309e-06
168,1.0600310206414427,2119.98373118639,1.3516853387670803e-06
169,4.3073172898889664,8613.356012788236,5.450810077279828e-06
170,2.5080734775001656,5015.536177010781,3.847841019771368e-06
171,1.439876217701413,2879.5899089385484,1.8604660183994864e-06
172,1.4310121637463673,2861.863177289378,1.8537169964963928e-06
173,1.4227759135580997,2845.3914330708167,1.856810936669714e-06
174,5.644991015794553,11287.753446484207,7.236393210502251e-06
175,0.7133923107128353,1426.735338158037,1.0874177977362902e-06
176,0.7141962856132522,1428.3432988315742,1.0852036505623442e-06
177,4.27155239777899,8541.82024447722,5.577042709242095e-06
