,equity_td3_baseline
2024-01-02,1000000.0
2024-01-03,997434.0664936064
2024-01-04,998241.0953866958
2024-01-05,997767.3404615402
2024-01-08,1002950.0011716842
2024-01-09,999329.7301962012
2024-01-10,1004456.1900872993
2024-01-11,1004633.4346763191
2024-01-12,1000245.1190876197
2024-01-16,994756.3305744361
2024-01-17,992439.9258197974
2024-01-18,993804.6497883033
2024-01-19,994093.5122760963
2024-01-22,999211.6265949439
2024-01-23,1002230.3598713111
2024-01-24,996101.4400409888
2024-01-25,1004593.3606952857
2024-01-26,1013455.2457355689
2024-01-29,1018294.3630146217
2024-01-30,1022108.800636692
2024-01-31,1015304.3705219459
2024-02-01,1024298.3557209205
2024-02-02,1027557.4973835181
2024-02-05,1020614.7331318092
2024-02-06,1028178.0872577857
2024-02-07,1036225.8616108131
2024-02-08,1037781.8148578834
2024-02-09,1034842.3353962135
2024-02-12,1038934.6807026099
2024-02-13,1027152.0452045631
2024-02-14,1030845.2251667213
2024-02-15,1041761.9060749244
2024-02-16,1040732.6937336158
2024-02-20,1040128.8435138892
2024-02-21,1044239.6743549537
2024-02-22,1056240.667824192
2024-02-23,1059211.157844944
2024-02-26,1057664.069160862
2024-02-27,1056865.8983844947
2024-02-28,1053186.7642292213
2024-02-29,1053726.1901935767
2024-03-01,1056612.5828022193
2024-03-04,1051485.0077289771
2024-03-05,1042972.9372333717
2024-03-06,1047230.587379856
2024-03-07,1056473.7333454322
2024-03-08,1052811.2052387428
2024-03-11,1056351.7333149146
2024-03-12,1061955.751655979
2024-03-13,1062620.2584003638
2024-03-14,1057088.271919651
2024-03-15,1056813.0670246314
2024-03-18,1056744.8788837623
2024-03-19,1065713.3265155982
2024-03-20,1073385.4300007056
2024-03-21,1081740.802437229
2024-03-22,1070839.3576130103
2024-03-25,1065223.471565647
2024-03-26,1066073.9214557838
2024-03-27,1081128.9456562232
2024-03-28,1081941.3731464576
2024-04-01,1067407.6660236549
2024-04-02,1049606.2566303443
2024-04-03,1050208.4101947974
2024-04-04,1038756.6859516334
2024-04-05,1044641.9043049049
2024-04-08,1044859.3598407935
2024-04-09,1046246.9397663306
2024-04-10,1030426.7143940162
2024-04-11,1025024.5996174049
2024-04-12,1016589.7508014869
2024-04-15,1014429.0939106178
2024-04-16,1016727.768806858
2024-04-17,1020644.9779743385
2024-04-18,1026817.1474384498
2024-04-19,1035825.6986469459
2024-04-22,1036936.2586139869
