quarter_start,chosen_model,val_mse,n_universe,top_k,tic,y_pred
2024-01-01,RF,0.016225827267711553,30,6,JNJ,0.08902910928984664
2024-01-01,RF,0.016225827267711553,30,6,NKE,0.0770611275099481
2024-01-01,RF,0.016225827267711553,30,6,HD,0.07318360384798696
2024-01-01,RF,0.016225827267711553,30,6,CVX,0.06843051685402556
2024-01-01,RF,0.016225827267711553,30,6,CSCO,0.06568582494611089
2024-01-01,RF,0.016225827267711553,30,6,MSFT,0.05665708150310134
2024-04-01,RF,0.016382323335624345,30,6,HD,0.08355626966210916
2024-04-01,RF,0.016382323335624345,30,6,UNH,0.07448484787235167
2024-04-01,RF,0.016382323335624345,30,6,AAPL,0.06942433428352947
2024-04-01,RF,0.016382323335624345,30,6,NKE,0.06189152283514118
2024-04-01,RF,0.016382323335624345,30,6,CVX,0.058834119391756846
2024-04-01,RF,0.016382323335624345,30,6,JNJ,0.058188816981461125
2024-07-01,RF,0.017967899604125672,30,6,HD,0.09418030998312245
2024-07-01,RF,0.017967899604125672,30,6,NKE,0.07995024594546599
2024-07-01,RF,0.017967899604125672,30,6,JNJ,0.07021912971902394
2024-07-01,RF,0.017967899604125672,30,6,V,0.06566597009677186
2024-07-01,RF,0.017967899604125672,30,6,MCD,0.05409971749784754
2024-07-01,RF,0.017967899604125672,30,6,SHW,0.05389556221809875
2024-10-01,RF,0.018804249673021457,30,6,CSCO,0.060084476120386414
2024-10-01,RF,0.018804249673021457,30,6,MRK,0.05524504003344772
2024-10-01,RF,0.018804249673021457,30,6,CVX,0.05162642652701178
2024-10-01,RF,0.018804249673021457,30,6,V,0.04054897338184925
2024-10-01,RF,0.018804249673021457,30,6,NKE,0.038437243005957515
2024-10-01,RF,0.018804249673021457,30,6,MSFT,0.02932202179267857
2025-01-01,RF,0.018967581565670667,30,6,BA,0.1092024105462389
2025-01-01,RF,0.018967581565670667,30,6,TRV,0.06898476182535868
2025-01-01,RF,0.018967581565670667,30,6,AMGN,0.05022416199117212
2025-01-01,RF,0.018967581565670667,30,6,MSFT,0.048725048753585465
2025-01-01,RF,0.018967581565670667,30,6,UNH,0.041933796364343905
2025-01-01,RF,0.018967581565670667,30,6,AAPL,0.03753222637340353
2025-04-01,RF,0.014633928628829389,30,6,BA,0.12324888380858864
2025-04-01,RF,0.014633928628829389,30,6,DIS,0.12138132153129763
2025-04-01,RF,0.014633928628829389,30,6,MRK,0.10262609832205026
2025-04-01,RF,0.014633928628829389,30,6,CVX,0.08144198552532385
2025-04-01,RF,0.014633928628829389,30,6,AAPL,0.05927816578053381
2025-04-01,RF,0.014633928628829389,30,6,UNH,0.05325449904525085
2025-07-01,RF,0.016763469084654824,30,6,NKE,0.09367097571774087
2025-07-01,RF,0.016763469084654824,30,6,TRV,0.07762915454891957
2025-07-01,RF,0.016763469084654824,30,6,VZ,0.04619935403247243
2025-07-01,RF,0.016763469084654824,30,6,AXP,0.04293426244228568
2025-07-01,RF,0.016763469084654824,30,6,JNJ,0.03968501552848286
2025-07-01,RF,0.016763469084654824,30,6,AAPL,0.0386990203943442
2025-10-01,RF,0.015042878390191956,30,6,NKE,0.10772602011209016
2025-10-01,RF,0.015042878390191956,30,6,TRV,0.08121463652593387
2025-10-01,RF,0.015042878390191956,30,6,CRM,0.07776381457904803
2025-10-01,RF,0.015042878390191956,30,6,UNH,0.07311126824346835
2025-10-01,RF,0.015042878390191956,30,6,NVDA,0.07249301397384879
2025-10-01,RF,0.015042878390191956,30,6,HD,0.05945555080135879
