method,final_$,return_%,sharpe,max_dd_%
EW,1087428.4985747903,8.74284985747904,0.31303667986506695,-17.92849264153043
MVO,776789.9304768633,-22.32100695231367,-0.35696831247167166,-35.081086665598235
MINVAR,1117792.7668634485,11.779276686344865,0.39741720660780155,-15.982624970771681
^DJI,1198888.8716267652,19.888887162676518,0.642950256054066,-16.369224740128825
DES,1686223.8781482424,68.62238781482424,2.911675657796,-7.8682145701632695
