Date,equity_minvar
2024-01-02,1000000.0
2024-01-03,999304.3476811828
2024-01-04,992420.2689676962
2024-01-05,994358.4714196633
2024-01-08,1002761.3469473051
2024-01-09,995757.1575729579
2024-01-10,1005444.6857599244
2024-01-11,1009284.1198826819
2024-01-12,1013514.1594070239
2024-01-16,1006663.6792565295
2024-01-17,1002346.6422323795
2024-01-18,1006885.746622388
2024-01-19,1015184.9352982437
2024-01-22,1012408.6015408854
2024-01-23,1009470.5190246226
2024-01-24,1009273.7919674409
2024-01-25,1020332.1577989052
2024-01-26,1023787.5089797222
2024-01-29,1028622.1978280129
2024-01-30,1029194.0963037125
2024-01-31,1008818.3125095171
2024-02-01,1015440.6697985994
2024-02-02,1019768.1493385738
2024-02-05,1011550.5655541413
2024-02-06,1019495.0357162734
2024-02-07,1027266.3232024633
2024-02-08,1028503.7361621755
2024-02-09,1030291.3216228831
2024-02-12,1033326.9658355218
2024-02-13,1018103.821326992
2024-02-14,1023654.5394478077
2024-02-15,1027295.758645393
2024-02-16,1021640.069056343
2024-02-20,1021209.1576710189
2024-02-21,1026980.0531562282
2024-02-22,1037647.5234705277
2024-02-23,1039630.8001116526
2024-02-26,1033685.4812195923
2024-02-27,1033443.33482777
2024-02-28,1033692.7842878634
2024-02-29,1038264.9613534532
2024-03-01,1041067.350714542
2024-03-04,1031620.9901694309
2024-03-05,1023049.4222985277
2024-03-06,1021095.9182566812
2024-03-07,1024862.0105124175
2024-03-08,1026261.3249124803
2024-03-11,1033480.4812459232
2024-03-12,1041016.4070284205
2024-03-13,1044488.8828033063
2024-03-14,1045811.3342064591
2024-03-15,1035091.3393009645
2024-03-18,1033230.2153723956
2024-03-19,1040357.252486876
2024-03-20,1043505.1684539086
2024-03-21,1052587.6911623534
2024-03-22,1041305.7154836907
2024-03-25,1036625.435172319
2024-03-26,1032020.5010791544
2024-03-27,1040881.9642881999
2024-03-28,1041613.6831623373
2024-04-01,1035667.7695335236
2024-04-02,1018722.1970854093
2024-04-03,1014311.5373406301
2024-04-04,1007182.7889808189
2024-04-05,1008784.4633885609
2024-04-08,1009888.638651731
2024-04-09,1015317.4459535454
2024-04-10,1000177.83899553
2024-04-11,1004203.1208173154
2024-04-12,997650.9146080853
2024-04-15,993921.0478227278
2024-04-16,992960.1452509452
2024-04-17,997002.0724183604
2024-04-18,1005265.4487825504
2024-04-19,1011296.5425886712
2024-04-22,1012018.0118754869
2024-04-23,1013906.746218723
2024-04-24,1014078.1051507808
2024-04-25,1015885.5028582003
2024-04-26,1017418.2629888186
2024-04-29,1021289.7965842041
2024-04-30,1003740.5198709043
2024-05-01,1005491.3787657369
2024-05-02,1016775.6510443515
2024-05-03,1028594.4254780089
2024-05-06,1030589.6713302545
2024-05-07,1034216.5723925474
2024-05-08,1034423.6205005329
2024-05-09,1045959.0398200966
