,equity_ppo_baseline
2024-01-02,1000000.0
2024-01-03,999228.858256039
2024-01-04,998595.8089321109
2024-01-05,998518.8816704128
2024-01-08,1003237.8327177374
2024-01-09,1003054.4923724402
2024-01-10,1004599.3835799705
2024-01-11,1005505.005994688
2024-01-12,1005856.195469987
2024-01-16,1010317.1126847906
2024-01-17,1008231.8794846734
2024-01-18,1020528.6295470627
2024-01-19,1038949.639179898
2024-01-22,1048119.4102884107
2024-01-23,1052292.1884060942
2024-01-24,1064903.2352727323
2024-01-25,1070781.558668248
2024-01-26,1053961.655867995
2024-01-29,1065183.8120764175
2024-01-30,1059096.3844842296
2024-01-31,1044303.4867344452
2024-02-01,1055725.216395372
2024-02-02,1064804.3114852759
2024-02-05,1065986.4485645187
2024-02-06,1058602.3598379828
2024-02-07,1072445.023497685
2024-02-08,1081161.0819394614
2024-02-09,1100305.6557236582
2024-02-12,1091690.6439061067
2024-02-13,1070716.3469183738
2024-02-14,1090709.463104959
2024-02-15,1092818.6428050592
2024-02-16,1087521.8249337203
2024-02-20,1075760.3275063005
2024-02-21,1069107.4492170922
2024-02-22,1107829.2495729576
2024-02-23,1101202.5055742785
2024-02-26,1110236.4673341215
2024-02-27,1110434.131269778
2024-02-28,1101824.7382922703
2024-02-29,1115473.1503663126
2024-03-01,1146923.4502985417
2024-03-04,1145380.5170879648
2024-03-05,1116266.5439051387
2024-03-06,1133215.961440872
2024-03-07,1149008.7311436192
2024-03-08,1127696.1517986085
2024-03-11,1121498.3498216912
2024-03-12,1139808.2055549219
2024-03-13,1123943.8867047601
2024-03-14,1115965.7715157096
2024-03-15,1103668.035970001
2024-03-18,1107248.733549729
2024-03-19,1105012.2244835363
2024-03-20,1121845.5092384059
2024-03-21,1141323.8186703727
2024-03-22,1135374.2444033907
2024-03-25,1129765.7403029602
2024-03-26,1125459.7733435475
2024-03-27,1132052.1375249946
2024-03-28,1132561.029842613
2024-04-01,1139427.6053810308
2024-04-02,1112843.737371991
2024-04-03,1115238.7659429405
2024-04-04,1091501.90710838
2024-04-05,1105376.0515614545
2024-04-08,1110747.164459091
2024-04-09,1117752.4868287311
2024-04-10,1096040.1699662807
2024-04-11,1108039.1608236986
2024-04-12,1083998.0217995946
2024-04-15,1069166.263402252
2024-04-16,1075626.9373972022
2024-04-17,1037373.4388515927
2024-04-18,1022913.3401196019
2024-04-19,1012020.5305607154
2024-04-22,1021576.1050108897
2024-04-23,1040836.8188142736
2024-04-24,1040175.7878230349
2024-04-25,1045210.3603172337
2024-04-26,1064686.521812268
2024-04-29,1066905.7046725822
2024-04-30,1044238.0891025158
2024-05-01,1024913.5604221117
2024-05-02,1037102.2248478424
2024-05-03,1061247.015312256
2024-05-06,1077869.9863106287
2024-05-07,1076944.4138992964
2024-05-08,1073781.7647480518
2024-05-09,1076321.3952934344
2024-05-10,1083538.56566636
2024-05-13,1079579.2848203308
2024-05-14,1088611.9913098223
2024-05-15,1114801.0120276615
2024-05-16,1110400.2643091986
2024-05-17,1114402.0957026312
2024-05-20,1129239.0957118352
2024-05-21,1122945.420499467
2024-05-22,1125221.8248699538
2024-05-23,1114810.0351334321
2024-05-24,1114224.0187082088
2024-05-28,1117535.8856951506
2024-05-29,1101057.5438984386
2024-05-30,1083229.0900360157
2024-05-31,1086208.6949075463
2024-06-03,1093917.3401303035
2024-06-04,1092638.3441317931
2024-06-05,1128801.2497348397
2024-06-06,1125947.6855409376
2024-06-07,1120430.2106124097
2024-06-10,1129859.324340113
2024-06-11,1123892.3121968587
2024-06-12,1159943.4158736402
2024-06-13,1158979.8866917302
2024-06-14,1157354.8287425886
2024-06-17,1188424.1533417995
2024-06-18,1200103.2760329118
2024-06-20,1188286.2639026917
2024-06-21,1184700.429426931
2024-06-24,1167889.191375311
2024-06-25,1185675.382675163
2024-06-26,1184155.7131527842
2024-06-27,1184768.7697305733
2024-06-28,1192552.3275014625
2024-07-01,1190459.568471937
2024-07-02,1202432.4182937448
2024-07-03,1209486.0804190424
2024-07-05,1216881.36748686
2024-07-08,1223007.1217205483
2024-07-09,1215838.6806666162
2024-07-10,1234870.3080085046
2024-07-11,1215284.0967258012
2024-07-12,1232268.3172390345
2024-07-15,1229926.9028266617
2024-07-16,1236557.157238901
2024-07-17,1175111.395806276
2024-07-18,1158349.7044736955
2024-07-19,1141029.1893385712
2024-07-22,1171636.0706389253
2024-07-23,1164141.6312762543
2024-07-24,1122318.750436769
2024-07-25,1121865.0641083925
2024-07-26,1137091.610911249
2024-07-29,1133637.0480611208
2024-07-30,1123477.8741997469
2024-07-31,1168041.2071467226
2024-08-01,1122142.2726539362
2024-08-02,1072396.6479483086
2024-08-05,1058091.922268377
2024-08-06,1075869.537551256
2024-08-07,1063851.4188705536
2024-08-08,1110347.0151621148
2024-08-09,1110052.4055832268
2024-08-12,1111267.07947558
2024-08-13,1143330.2110687958
2024-08-14,1145102.6984822939
2024-08-15,1182892.077092531
2024-08-16,1176752.3513110597
2024-08-19,1191124.4562940956
2024-08-20,1187634.0544243143
2024-08-21,1199317.195558706
2024-08-22,1176431.9292490021
2024-08-23,1183126.1258786027
2024-08-26,1170411.109754747
2024-08-27,1179174.581952501
2024-08-28,1167089.9184863374
2024-08-29,1167834.0613484208
2024-08-30,1182553.5131782624
2024-09-03,1134866.2441592691
2024-09-04,1131879.442886461
2024-09-05,1115511.0062238977
2024-09-06,1090819.1729402214
2024-09-09,1106377.2330011919
2024-09-10,1112541.709038736
2024-09-11,1140275.8457063881
2024-09-12,1138251.4183538149
2024-09-13,1155665.0346667382
2024-09-16,1149261.4147952935
2024-09-17,1149227.918022581
2024-09-18,1135442.2900165995
2024-09-19,1172596.1978649576
2024-09-20,1157568.961796232
2024-09-23,1156649.0318531473
2024-09-24,1158740.3154148539
2024-09-25,1158341.158344694
2024-09-26,1188291.6306309183
2024-09-27,1173151.476993986
2024-09-30,1173207.67515225
2024-10-01,1147511.3282589396
2024-10-02,1158194.5873341043
2024-10-03,1154253.6330646952
2024-10-04,1166550.4437488993
2024-10-07,1153695.4836277445
2024-10-08,1170512.9133686502
2024-10-09,1184290.8619694193
2024-10-10,1178604.8555530985
2024-10-11,1190135.3971646363
2024-10-14,1207517.5586615084
2024-10-15,1147954.476710367
2024-10-16,1138151.6525488375
2024-10-17,1138117.5828428743
2024-10-18,1147002.6510913179
2024-10-21,1138433.3838336274
2024-10-22,1133411.807806711
2024-10-23,1122347.749754648
2024-10-24,1123276.0588557527
2024-10-25,1129606.441172342
2024-10-28,1130788.4827754304
2024-10-29,1148239.088350992
2024-10-30,1131055.937266092
2024-10-31,1099539.7676417634
2024-11-01,1107263.1926562593
2024-11-04,1104056.9588191316
2024-11-05,1114478.7734782503
2024-11-06,1141292.9849421785
2024-11-07,1162176.7992923066
2024-11-08,1163387.8336779878
2024-11-11,1167413.8545214937
2024-11-12,1159122.9466121003
2024-11-13,1151780.4718920991
2024-11-14,1142817.8787791536
2024-11-15,1109347.0469729707
2024-11-18,1117292.9662425325
2024-11-19,1110807.619410257
2024-11-20,1113706.34599946
2024-11-21,1137179.7181956575
2024-11-22,1135943.0234477327
2024-11-25,1140181.599199991
2024-11-26,1132627.834231119
2024-11-27,1098868.270910959
2024-11-29,1109281.7320010469
2024-12-02,1125180.212820749
2024-12-03,1127287.3845164583
2024-12-04,1141128.7245623872
2024-12-05,1130899.5306155488
2024-12-06,1134523.8778750703
2024-12-09,1133705.8352992341
2024-12-10,1121496.3177897737
2024-12-11,1138535.5216698472
2024-12-12,1134355.3498423784
2024-12-13,1125548.639427492
2024-12-16,1133602.147251436
2024-12-17,1134028.2689363495
2024-12-18,1097247.273449499
2024-12-19,1082538.4256379984
2024-12-20,1092621.0016210154
2024-12-23,1102989.8139875124
2024-12-24,1111952.197711725
2024-12-26,1109882.9150655458
2024-12-27,1101109.5902326296
2024-12-30,1088293.6632650087
