agent,cost_model,final_$,return_%,sharpe,max_dd_%,total_cost_$,trades
A2C,baseline,1206044.8544242785,20.604485442427855,0.6512096115535391,-15.909717534369422,505.7761947708131,29794
A2C,ac,1205914.8365564507,20.59148365564507,0.650914791808383,-15.90571699703623,506.2541664542021,82
PPO,baseline,1252509.4755738727,25.25094755738726,0.6754272832354126,-17.853826701249808,830.5726591606117,26085
PPO,ac,1262020.4202600375,26.20204202600376,0.6645204639531169,-19.594030325029664,847.9885312398558,2855
DDPG,baseline,1285127.0310286637,28.512703102866375,0.8444939739685359,-16.824686825730982,499.7423172836305,18544
DDPG,ac,1285236.2288294772,28.52362288294772,0.8446065576137624,-16.83042074424435,500.20091821588466,60
TD3,baseline,1377863.5332491703,37.78635332491702,0.9931820358295688,-18.83334592685823,517.032588689804,33160
TD3,ac,1377983.687906036,37.79836879060359,0.9934155455532989,-18.83171187717841,517.7059236033913,52
SAC,baseline,1250477.371570648,25.047737157064788,0.7182869668072575,-15.766288809814244,506.2195815429685,23601
SAC,ac,1250710.6562074614,25.071065620746147,0.718805965532899,-15.767105365236258,506.94113168474024,140
