date,DTE,DRL Ensemble,Dynamic Stock Recommendation,MACE,^NDX
2024-02-21,5.122148,6.473154,7.966776,6.983436,5.651439
2024-02-22,6.546397,9.354836,10.830165,10.866483,8.829576
2024-02-23,6.434972,8.611343,10.316363,10.205757,8.424051
2024-02-26,6.430644,8.999423,11.015858,11.098231,8.398185
2024-02-27,6.384480,8.916462,12.399384,11.124490,8.626188
2024-02-28,6.260014,8.659190,11.269471,10.263403,8.042586
2024-02-29,7.004546,9.331759,13.302404,11.634183,9.066221
2024-03-01,7.626104,11.441224,15.919460,14.773135,10.632115
2024-03-04,7.790232,11.118304,16.009580,14.617311,10.170135
2024-03-05,6.809049,8.618365,14.048512,11.683485,8.183841
2024-03-06,7.104617,9.880006,16.587670,13.385271,8.907376
2024-03-07,7.925061,11.403599,18.379821,14.958472,10.602377
2024-03-08,7.209001,9.747013,16.646474,12.830414,8.912688
2024-03-11,6.739579,9.412584,15.379658,12.215614,8.509158
2024-03-12,7.710016,10.757324,16.082632,14.052407,10.125581
2024-03-13,7.502594,9.749858,15.277974,12.460983,9.215044
2024-03-14,7.808192,9.017696,14.005801,11.666169,8.890694
2024-03-15,7.142330,7.767218,13.205622,10.420463,7.642137
2024-03-18,7.126150,8.101479,14.391355,10.780163,8.710563
2024-03-19,7.228224,8.446488,13.720315,10.560733,8.995800
2024-03-20,7.896759,9.614515,15.635119,12.244453,10.252515
2024-03-21,8.178934,10.763882,17.727195,14.169081,10.737717
2024-03-22,8.524336,10.309429,17.320258,13.565664,10.852917
2024-03-25,8.189512,10.002517,17.660434,12.982773,10.475867
2024-03-26,8.106209,9.939657,17.951778,12.546085,10.073777
2024-03-27,8.366038,10.397894,18.784626,13.209135,10.498711
2024-03-28,8.391242,10.230522,18.511004,13.269927,10.340645
2024-04-01,9.155668,10.331463,19.070517,13.931385,10.573417
2024-04-02,8.785444,8.464018,17.984507,11.258077,9.537268
2024-04-03,8.885332,8.805667,18.831959,11.474302,9.769439
2024-04-04,8.202677,7.323656,17.199753,9.110563,8.068452
2024-04-05,8.837805,8.225342,17.154027,10.502534,9.456765
2024-04-08,9.159872,8.467283,17.015098,11.051178,9.406768
2024-04-09,9.468181,8.885698,17.375902,11.757035,9.828136
2024-04-10,9.309811,7.886882,16.484737,9.569495,8.871652
2024-04-11,9.962612,9.041140,17.691549,10.754065,10.662763
2024-04-12,9.470774,7.347353,14.863854,8.357230,8.822269
2024-04-15,8.932650,5.769649,12.629996,6.865430,7.029103
2024-04-16,8.855301,5.907020,12.256886,7.510100,7.070388
2024-04-17,8.826180,3.876193,10.821727,3.681155,5.740348
2024-04-18,8.750105,3.300110,9.906284,2.238986,5.140076
2024-04-19,8.213515,2.313735,7.521183,1.170685,2.984240
2024-04-22,8.690899,3.515351,9.059138,2.114885,4.031393
2024-04-23,9.121527,4.598624,10.806346,4.040565,5.606471
2024-04-24,9.143340,4.744260,11.733059,3.969292,5.940915
2024-04-25,8.603559,4.795632,12.334934,4.463555,5.358824
2024-04-26,10.961843,5.096186,13.195983,6.403445,7.098438
2024-04-29,10.360390,5.291958,14.100077,6.624092,7.487825
2024-04-30,9.526794,3.089898,11.589720,4.346843,5.420414
2024-05-01,9.814923,2.641096,10.888340,2.418727,4.682146
2024-05-02,10.661562,3.324165,12.958737,3.626751,6.030000
2024-05-03,10.935171,5.451718,13.929138,6.051032,8.141116
2024-05-06,11.215119,6.205607,15.577006,7.700188,9.366759
2024-05-07,11.507187,6.573783,14.241643,7.599432,9.353938
2024-05-08,11.278676,6.444937,14.319382,7.273304,9.315014
2024-05-09,11.721545,7.145296,14.508410,7.543288,9.486988
2024-05-10,11.589496,7.580302,14.236006,8.250892,9.775424
2024-05-13,11.808201,7.391073,15.199115,7.838490,10.001668
2024-05-14,12.312626,7.548472,17.014099,8.730724,10.752155
2024-05-15,13.472033,9.630566,19.374010,11.355679,12.407631
2024-05-16,13.447793,9.403518,19.836829,10.915886,12.173772
2024-05-17,13.719799,9.970549,20.010879,11.337530,12.102867
2024-05-20,14.305318,10.777943,21.929782,12.814031,12.876316
2024-05-21,14.646802,10.488314,22.045677,12.184985,13.115748
2024-05-22,14.512737,10.690158,21.362987,12.423831,13.063755
2024-05-23,13.480213,10.021153,19.907935,11.365055,12.569262
2024-05-24,14.235569,11.416087,22.080462,11.257004,13.687249
2024-05-28,14.672405,11.404002,22.120265,11.562253,14.056507
2024-05-29,14.203811,9.991146,20.733834,9.917457,13.254464
2024-05-30,13.028023,9.641509,19.382028,8.107434,12.057108
2024-05-31,13.107129,10.135705,18.573070,8.414531,12.044960
2024-06-03,13.431456,10.707146,18.660428,9.196781,12.433745
2024-06-04,13.684802,11.137822,18.142797,9.081606,12.759358
2024-06-05,15.120515,14.164560,21.537511,12.680445,15.057546
2024-06-06,15.353307,14.359844,20.928291,12.404338,14.973761
2024-06-07,15.090800,13.815045,20.610516,11.853031,14.851419
2024-06-10,15.354560,13.961447,22.341431,12.778950,15.297024
2024-06-11,16.896511,14.072655,22.294512,12.165720,16.116115
2024-06-12,18.188478,15.487547,23.927975,15.789621,17.657464
2024-06-13,17.801792,14.753917,23.650927,15.685811,18.332879
2024-06-14,17.869410,14.942364,23.215473,15.545790,18.833854
2024-06-17,18.850503,16.616764,24.884143,18.672829,20.302362
2024-06-18,18.409163,16.968193,25.034615,19.839524,20.339291
2024-06-20,18.171211,16.261795,22.986567,18.704477,19.392971
2024-06-21,18.661488,15.997751,22.894432,18.363476,19.079435
2024-06-24,18.162579,14.950202,21.565495,16.661123,17.714521
2024-06-25,19.262785,16.238907,22.850989,18.448513,19.083674
2024-06-26,19.975538,16.046235,22.702615,18.304673,19.385415
2024-06-27,20.503355,16.769645,23.147173,18.430348,19.614977
2024-06-28,19.345898,16.112475,22.654031,19.234808,18.973290
2024-07-01,20.561706,16.239500,22.995356,19.015791,19.755157
2024-07-02,21.490464,17.433792,24.770308,20.218162,20.962064
2024-07-03,21.702881,17.666851,25.307963,20.891757,22.018283
2024-07-05,22.871363,19.197936,26.599383,21.670840,23.259462
2024-07-08,22.850482,19.709809,26.506551,22.286185,23.546989
2024-07-09,22.902908,19.735140,26.711785,21.551508,23.628472
