Date,portfolio_equity,portfolio_cum_return,benchmark_cum_return,ADP_asset,ADSK_asset,AEP_asset,ALNY_asset,APP_asset,AXON_asset,BKR_asset,CCEP_asset,CDNS_asset,CEG_asset,CPRT_asset,CRWD_asset,CSX_asset,CTAS_asset,DASH_asset,DDOG_asset,DXCM_asset,EA_asset,EXC_asset,FANG_asset,FAST_asset,FER_asset,FTNT_asset,GEHC_asset,IDXX_asset,KDP_asset,KHC_asset,LITE_asset,MAR_asset,MELI_asset,MNST_asset,MSTR_asset,ODFL_asset,ORLY_asset,PANW_asset,PAYX_asset,PCAR_asset,PDD_asset,PYPL_asset,REGN_asset,RKLB_asset,ROP_asset,ROST_asset,SHOP_asset,SNPS_asset,STX_asset,TRI_asset,TTWO_asset,VRTX_asset,WBD_asset,WDAY_asset,WDC_asset,XEL_asset,AAPL_asset,ADBE_asset,ADI_asset,AMAT_asset,AMD_asset,AMGN_asset,AMZN_asset,ARM_asset,ASML_asset,AVGO_asset,BKNG_asset,CMCSA_asset,COST_asset,CSCO_asset,GILD_asset,GOOG_asset,GOOGL_asset,HON_asset,INTC_asset,INTU_asset,ISRG_asset,KLAC_asset,LIN_asset,LRCX_asset,MCHP_asset,MDLZ_asset,META_asset,MPWR_asset,MRVL_asset,MSFT_asset,MU_asset,NFLX_asset,NVDA_asset,NXPI_asset,PEP_asset,PLTR_asset,QCOM_asset,SBUX_asset,TER_asset,TMUS_asset,TSLA_asset,TXN_asset,WMT_asset
2024-01-02,999999.9999999999,-1.1102230246251565e-16,0.0,4750.329430125183,2705.106954549177,2045.9421957403183,1251.4211392353661,695.0154229461223,1001.4265466739819,1736.1844351561208,1504.7243465100446,3845.7689486954214,1922.5650956229315,2460.9357655993176,3171.498200298935,3468.4088291301814,782.7847701027388,2045.2889975862452,2057.210889059789,2468.492038643698,1891.4185388979793,1700.5226183445477,1354.5030314007074,913.9656882028169,1267.8925073774017,2343.1020517553484,1823.2738606533178,2391.9424271380867,2278.520095019001,2073.9698618884076,182.97072168724247,3397.2318860110095,4149.140264886793,3142.9731605552806,60.78458583150487,1138.3182779046444,196.55028847692836,2417.0872836052445,2064.8157158187223,2482.7814721240907,10039.131861074513,3436.5944411418945,4959.232266546779,139.07098317246744,2993.623679355633,2370.998379585384,5155.590189904364,4054.452266903869,884.653123557775,3267.342215809032,1430.300129888386,5480.820208482049,1449.7275432221459,3780.7931240539424,663.1717605052805,1646.3357716087146,151152.3125180181,14095.925156930245,4939.4830772917785,6843.465972712461,12241.02689277156,7481.742204084624,82243.29041515492,3957.431468893111,14813.273536703797,2620.1387964927967,252.6262011153402,7940.2830977360045,15067.29593775132,10064.093627936682,4888.384935072043,90523.95760690182,90636.26329502418,6462.611610666209,10749.608000338489,8989.604674496799,6157.1604631985665,401.1270523661776,10106.426396913821,521.3196815682493,2374.846930625478,4839.650039731701,47002.39815648299,1534.8305071195737,2678.3274430736838,143145.40185090827,4831.289259981173,1110.6555540645722,6376.521470164496,2953.962103036655,11216.94005125566,1937.0078090869813,7892.107121270799,5343.60574698959,851.1836695521911,9352.7828201891,41750.65612308153,7496.972285703565,7225.302149475949
2024-01-03,1000221.3264694924,0.00022132646949235557,-0.010605044780725437,4750.329430125183,2705.106954549177,2045.9421957403183,1251.4211392353661,695.0154229461223,1001.4265466739819,1736.1844351561208,1504.7243465100446,3793.25830556798,1922.5650956229315,2460.9357655993176,3171.498200298935,3468.4088291301814,782.7847701027388,2045.2889975862452,2057.210889059789,2405.9165684288546,1891.4185388979793,1700.5226183445477,1354.5030314007074,913.9656882028169,1267.8925073774017,2343.1020517553484,1823.2738606533178,2391.9424271380867,2278.520095019001,2073.9698618884076,182.97072168724247,3397.2318860110095,4149.140264886793,3142.9731605552806,60.78458583150487,1138.3182779046444,196.55028847692836,2417.0872836052445,2064.8157158187223,2482.7814721240907,10039.131861074513,3436.5944411418945,5008.094737198961,139.07098317246744,2993.623679355633,2370.998379585384,5155.590189904364,4054.452266903869,874.5997622433911,3267.342215809032,1430.300129888386,5480.820208482049,1449.7275432221459,3780.7931240539424,663.1717605052805,1646.3357716087146,151152.3125180181,14095.925156930245,4939.4830772917785,6843.465972712461,12193.713047098952,7489.932535218864,82243.29041515492,3957.431468893111,14855.827996194053,2620.1387964927967,252.6262011153402,7940.2830977360045,14904.625157064485,10122.204297472208,4888.384935072043,90523.95760690182,90636.26329502418,6462.611610666209,10749.608000338489,8989.604674496799,6157.1604631985665,401.1270523661776,10106.426396913821,521.3196815682493,2374.846930625478,4839.650039731701,47002.39815648299,1534.8305071195737,2678.3274430736838,143618.4993772477,4831.289259981173,1116.3427763584257,6376.521470164496,2953.962103036655,11216.94005125566,1937.0078090869813,7812.055012333935,5343.60574698959,851.1836695521911,9352.7828201891,41750.65612308153,7496.972285703565,7225.302149475949
2024-01-04,999167.3658234011,-0.0008326341765988454,-0.015832364972208857,4750.329430125183,2705.106954549177,2045.9421957403183,1251.4211392353661,695.0154229461223,990.4368267032787,1736.1844351561208,1504.7243465100446,3774.2182970230583,1922.5650956229315,2460.9357655993176,3171.498200298935,3468.4088291301814,782.7847701027388,2045.2889975862452,2057.210889059789,2435.5566670006315,1891.4185388979793,1700.5226183445477,1354.5030314007074,913.9656882028169,1267.8925073774017,2343.1020517553484,1823.2738606533178,2391.9424271380867,2278.520095019001,2073.9698618884076,182.97072168724247,3397.2318860110095,4149.140264886793,3142.9731605552806,60.78458583150487,1150.124777807878,196.55028847692836,2417.0872836052445,2064.8157158187223,2482.7814721240907,10039.131861074513,3436.5944411418945,4981.365611222399,139.07098317246744,2993.623679355633,2370.998379585384,5155.590189904364,4054.452266903869,878.1555102292309,3267.342215809032,1430.300129888386,5480.820208482049,1449.7275432221459,3780.7931240539424,663.1717605052805,1646.3357716087146,151152.3125180181,14095.925156930245,4939.4830772917785,6843.465972712461,12255.8118935345,7549.682230043083,82243.29041515492,3957.431468893111,14792.493462502647,2620.1387964927967,252.6262011153402,7940.2830977360045,14987.64639729886,10035.99074690458,4888.384935072043,90523.95760690182,90636.26329502418,6462.611610666209,10749.608000338489,8989.604674496799,6157.1604631985665,401.1270523661776,10106.426396913821,524.456859731313,2374.846930625478,4839.650039731701,47002.39815648299,1534.8305071195737,2678.3274430736838,142587.8083066911,4831.289259981173,1126.485732138455,6376.521470164496,2953.962103036655,11216.94005125566,1937.0078090869813,7731.940113652295,5343.60574698959,851.1836695521911,9352.7828201891,41750.65612308153,7496.972285703565,7225.302149475949
2024-01-05,999809.2753609776,-0.00019072463902236603,-0.014383453532891832,4750.329430125183,2705.106954549177,2045.9421957403183,1251.4211392353661,695.0154229461223,987.5568828556225,1736.1844351561208,1504.7243465100446,3729.2784166519646,1922.5650956229315,2460.9357655993176,3171.498200298935,3468.4088291301814,782.7847701027388,2045.2889975862452,2057.210889059789,2476.406695992331,1891.4185388979793,1700.5226183445477,1354.5030314007074,913.9656882028169,1267.8925073774017,2343.1020517553484,1823.2738606533178,2391.9424271380867,2278.520095019001,2073.9698618884076,182.97072168724247,3397.2318860110095,4149.140264886793,3142.9731605552806,60.78458583150487,1145.9778383640917,196.55028847692836,2417.0872836052445,2064.8157158187223,2482.7814721240907,10039.131861074513,3436.5944411418945,4986.325022843492,139.07098317246744,2993.623679355633,2370.998379585384,5155.590189904364,4054.452266903869,873.0311510983715,3267.342215809032,1430.300129888386,5480.820208482049,1449.7275432221459,3780.7931240539424,663.1717605052805,1646.3357716087146,151152.3125180181,14095.925156930245,4939.4830772917785,6843.465972712461,12487.112552714187,7545.5856113907375,82473.50822716663,3957.431468893111,14855.214043557335,2620.1387964927967,252.6262011153402,7940.2830977360045,15161.405613607454,10037.996072221962,4888.384935072043,90523.95760690182,90636.26329502418,6462.611610666209,10749.608000338489,8989.604674496799,6157.1604631985665,401.1270523661776,10106.426396913821,525.3621407982075,2374.846930625478,4839.650039731701,47002.39815648299,1534.8305071195737,2678.3274430736838,142514.21592998208,4831.289259981173,1125.082713187039,6376.521470164496,2953.962103036655,11216.94005125566,1937.0078090869813,7763.314472783154,5343.60574698959,851.1836695521911,9352.7828201891,41750.65612308153,7496.972285703565,7225.302149475949
2024-01-08,1006708.3699116023,0.0067083699116023965,0.006402930076003788,4750.329430125183,2705.106954549177,2045.9421957403183,1251.4211392353661,695.0154229461223,1017.1568584415601,1736.1844351561208,1504.7243465100446,3858.078373927355,1922.5650956229315,2460.9357655993176,3171.498200298935,3468.4088291301814,782.7847701027388,2045.2889975862452,2057.210889059789,2583.7567249840304,1891.4185388979793,1700.5226183445477,1354.5030314007074,913.9656882028169,1267.8925073774017,2343.1020517553484,1823.2738606533178,2391.9424271380867,2278.520095019001,2073.9698618884076,182.97072168724247,3477.92355397583,4149.140264886793,3142.9731605552806,60.78458583150487,1145.9778383640917,196.55028847692836,2417.0872836052445,2064.8157158187223,2482.7814721240907,10039.131861074513,3436.5944411418945,4935.29658046068,139.07098317246744,2993.623679355633,2370.998379585384,5155.590189904364,4127.249117489806,880.351700109602,3267.342215809032,1430.300129888386,5515.061139695426,1449.7275432221459,3780.7931240539424,663.1717605052805,1646.3357716087146,151152.3125180181,14095.925156930245,4939.4830772917785,6843.465972712461,13171.111728739577,7735.428934144646,84665.98857384632,3957.431468893111,15215.073601662803,2620.1387964927967,252.6262011153402,7940.2830977360045,15290.248570150423,10112.180921007362,4888.384935072043,90523.95760690182,90636.26329502418,6462.611610666209,10749.608000338489,8989.604674496799,6157.1604631985665,401.1270523661776,10106.426396913821,542.3435708519185,2374.846930625478,4839.650039731701,47002.39815648299,1534.8305071195737,2678.3274430736838,145203.26088237466,4831.289259981173,1150.3137159946561,6376.521470164496,2953.962103036655,11216.94005125566,1937.0078090869813,7892.169911015576,5343.60574698959,851.1836695521911,9352.7828201891,41750.65612308153,7496.972285703565,7225.302149475949
2024-01-09,1008641.5181156589,0.008641518115658942,0.008145566901210266,4750.329430125183,2705.106954549177,2045.9421957403183,1251.4211392353661,695.0154229461223,1007.1168804142161,1736.1844351561208,1504.7243465100446,3855.838322657824,1922.5650956229315,2460.9357655993176,3171.498200298935,3468.4088291301814,782.7847701027388,2045.2889975862452,2057.210889059789,2585.0865742271944,1891.4185388979793,1700.5226183445477,1354.5030314007074,913.9656882028169,1267.8925073774017,2343.1020517553484,1823.2738606533178,2391.9424271380867,2278.520095019001,2073.9698618884076,182.97072168724247,3452.283981832274,4149.140264886793,3142.9731605552806,60.78458583150487,1145.9778383640917,196.55028847692836,2417.0872836052445,2064.8157158187223,2482.7814721240907,10039.131861074513,3436.5944411418945,4934.353892472399,139.07098317246744,2993.623679355633,2370.998379585384,5155.590189904364,4142.368990536681,871.2532351437817,3267.342215809032,1430.300129888386,5539.631330125114,1449.7275432221459,3780.7931240539424,663.1717605052805,1646.3357716087146,151152.3125180181,14095.925156930245,4939.4830772917785,6843.465972712461,13448.3118935345,7648.2145176407375,85955.34233361194,3957.431468893111,15114.517388283897,2620.1387964927967,252.6262011153402,7940.2830977360045,15414.783238119173,10001.906716753212,4888.384935072043,90523.95760690182,90636.26329502418,6462.611610666209,10749.608000338489,8989.604674496799,6157.1604631985665,401.1270523661776,10106.426396913821,538.8183633323872,2374.846930625478,4839.650039731701,47002.39815648299,1534.8305071195737,2678.3274430736838,145629.48189067547,4831.289259981173,1143.5517454746366,6459.452354732487,2953.962103036655,11216.94005125566,1937.0078090869813,7940.350483525342,5343.60574698959,851.1836695521911,9352.7828201891,41750.65612308153,7496.972285703565,7225.302149475949
2024-01-10,1013203.5723025706,0.013203572302570521,0.015057558015781236,4750.329430125183,2705.106954549177,2045.9421957403183,1251.4211392353661,695.0154229461223,1006.7968730899973,1736.1844351561208,1504.7243465100446,3876.978459376574,1922.5650956229315,2460.9357655993176,3171.498200298935,3472.918568115845,785.6801722666415,2045.2889975862452,2057.210889059789,2552.786632210593,1891.4185388979793,1700.5226183445477,1354.5030314007074,913.9656882028169,1267.8925073774017,2343.1020517553484,1823.2738606533178,2391.9424271380867,2278.520095019001,2073.9698618884076,182.97072168724247,3456.5329442346183,4149.140264886793,3142.9731605552806,60.78458583150487,1145.9778383640917,196.55028847692836,2417.0872836052445,2064.8157158187223,2482.7814721240907,10039.131861074513,3436.5944411418945,4951.561839249743,139.07098317246744,2993.623679355633,2370.998379585384,5155.590189904364,4168.848971005432,897.9213030759106,3267.342215809032,1430.300129888386,5575.381330125114,1449.7275432221459,3780.7931240539424,663.1717605052805,1646.3357716087146,151152.3125180181,14095.925156930245,4939.4830772917785,6843.465972712461,13383.511783671218,7583.410501527458,87295.82268029163,3957.431468893111,15152.355584084678,2620.1387964927967,252.6262011153402,7940.2830977360045,15541.356236166048,10068.070264269083,4888.384935072043,90523.95760690182,90636.26329502418,6462.611610666209,10749.608000338489,8989.604674496799,6430.8946707180985,398.7810327427722,10106.426396913821,537.220302724477,2374.846930625478,4839.650039731701,47002.39815648299,1534.8305071195737,2651.463389898952,148334.0168027848,4793.14213351593,1134.903758108914,6605.601913753483,2953.962103036655,11216.94005125566,1937.0078090869813,7907.85799084956,5343.60574698959,851.1836695521911,9352.7828201891,41750.65612308153,7496.972285703565,7225.302149475949
2024-01-11,1015001.5363168549,0.015001536316854969,0.01674093031377022,4750.329430125183,2705.106954549177,2045.9421957403183,1251.4211392353661,695.0154229461223,1008.876829144685,1736.1844351561208,1504.7243465100446,3926.39844228673,1922.5650956229315,2460.9357655993176,3171.498200298935,3459.9999546820072,787.1852992197665,2045.2889975862452,2057.210889059789,2570.4564930504366,1891.4185388979793,1700.5226183445477,1354.5030314007074,913.9656882028169,1267.8925073774017,2343.1020517553484,1823.2738606533178,2391.9424271380867,2278.520095019001,2073.9698618884076,182.97072168724247,3459.609344991454,4149.140264886793,3142.9731605552806,60.78458583150487,1145.9778383640917,197.76276800726282,2417.0872836052445,2064.8157158187223,2482.7814721240907,10039.131861074513,3436.5944411418945,5000.210215714586,139.07098317246744,2993.623679355633,2370.998379585384,5155.590189904364,4115.088961239806,888.299827856184,3267.342215809032,1430.300129888386,5657.541028611442,1449.7275432221459,3780.7931240539424,664.1890519226927,1646.3357716087146,151152.3125180181,14095.925156930245,4939.4830772917785,6843.465972712461,13336.71277244075,7547.993753480583,88119.4209468932,3957.431468893111,15167.572380959678,2620.1387964927967,254.43683421030104,7940.2830977360045,15559.959507650423,10108.16945784208,4888.384935072043,90523.95760690182,90636.26329502418,6462.611610666209,10749.608000338489,8989.604674496799,6394.51442169466,402.9324762242175,10106.426396913821,544.428424977895,2374.846930625478,4839.650039731701,47002.39815648299,1534.8305071195737,2753.2444644228776,149054.73991679848,4851.258069795227,1166.8737440708283,6662.612842861149,2953.962103036655,11138.410311430098,1937.0078090869813,7892.169911015576,5343.60574698959,851.1836695521911,9352.7828201891,41750.65612308153,7496.972285703565,7225.302149475949
2024-01-12,1016344.276277627,0.016344276277626912,0.017467452027903452,4731.794686917741,2705.106954549177,2045.9421957403183,1251.4211392353661,695.0154229461223,1013.4768657657787,1736.1844351561208,1504.7243465100446,3950.338322657824,1922.5650956229315,2460.9357655993176,3171.498200298935,3488.8190045172123,792.9983637949618,2045.2889975862452,2057.210889059789,2495.786632210593,1891.4185388979793,1700.5226183445477,1354.5030314007074,913.9656882028169,1267.8925073774017,2343.1020517553484,1823.2738606533178,2391.9424271380867,2278.520095019001,2073.9698618884076,182.97072168724247,3437.9255376184074,4149.140264886793,3142.9731605552806,60.78458583150487,1145.9778383640917,199.45277426336634,2417.0872836052445,2064.8157158187223,2482.7814721240907,10039.131861074513,3436.5944411418945,5085.654551652086,139.07098317246744,2993.623679355633,2370.998379585384,5155.590189904364,4082.6089807710564,899.1760409299145,3267.342215809032,1430.300129888386,5700.701123826286,1449.7275432221459,3780.7931240539424,656.6422799195187,1646.3357716087146,151152.3125180181,14095.925156930245,4939.4830772917785,6843.465972712461,13205.312168192702,7630.147501039177,87801.34233361194,3957.431468893111,15058.378533303428,2620.1387964927967,252.4831141175276,7940.2830977360045,15779.082798666048,10088.121079851357,4888.384935072043,90523.95760690182,90636.26329502418,6462.611610666209,10749.608000338489,8989.604674496799,6418.3143179348945,401.88259905746946,10106.426396913821,544.0650521751606,2374.846930625478,4839.650039731701,47002.39815648299,1534.8305071195737,2745.319476629909,150542.61986064614,4793.717832368469,1166.7127447727325,6649.084442440007,2953.962103036655,11214.461260526778,1937.0078090869813,7957.717564213818,5343.60574698959,851.1836695521911,9352.7828201891,41750.65612308153,7496.972285703565,7225.302149475949
2024-01-16,1018031.4871530932,0.018031487153093106,0.017333929756423894,4718.536706571062,2705.106954549177,2045.9421957403183,1251.4211392353661,695.0154229461223,1008.5968608829662,1736.1844351561208,1504.7243465100446,4077.1782884781355,1922.5650956229315,2460.9357655993176,3171.498200298935,3476.893677216187,787.5769923350009,2045.2889975862452,2057.210889059789,2485.5266148155733,1891.4185388979793,1700.5226183445477,1354.5030314007074,913.9656882028169,1267.8925073774017,2343.1020517553484,1823.2738606533178,2391.9424271380867,2278.520095019001,2073.9698618884076,182.97072168724247,3450.2325139367667,4149.140264886793,3142.9731605552806,60.78458583150487,1145.9778383640917,206.89078161810266,2417.0872836052445,2064.8157158187223,2482.7814721240907,10039.131861074513,3436.5944411418945,5106.086070206774,139.07098317246744,2993.623679355633,2370.998379585384,5155.590189904364,4204.848971005432,920.4058764401684,3267.342215809032,1430.300129888386,5753.871076218864,1449.7275432221459,3780.7931240539424,685.0383446778195,1646.3357716087146,151152.3125180181,14095.925156930245,4939.4830772917785,6843.465972712461,14301.51288230403,7557.150247621208,86972.06718712757,3957.431468893111,14920.193047463585,2620.1387964927967,252.53404795541823,7940.2830977360045,15739.388706869173,10138.245274950234,4888.384935072043,90843.3261590649,90636.26329502418,6462.611610666209,10749.608000338489,8989.604674496799,6394.854234927082,406.1369554417468,10106.426396913821,545.0731393333638,2374.846930625478,4839.650039731701,47002.39815648299,1534.8305071195737,2738.644504095729,151240.06584453286,4921.457929414368,1141.5967665317655,6851.037903133366,2953.962103036655,11141.07808181584,1937.0078090869813,8009.260639775342,5343.60574698959,851.1836695521911,9352.7828201891,41750.65612308153,7496.972285703565,7225.302149475949
