Date,portfolio_equity,portfolio_cum_return,benchmark_cum_return,AAPL_asset,ABBV_asset,ABT_asset,ACN_asset,ADBE_asset,AMAT_asset,AMD_asset,AMGN_asset,AMT_asset,AMZN_asset,AVGO_asset,AXP_asset,BA_asset,BAC_asset,BKNG_asset,BLK_asset,BMY_asset,BNY_asset,C_asset,CAT_asset,CL_asset,CMCSA_asset,COF_asset,COP_asset,COST_asset,CRM_asset,CSCO_asset,CVS_asset,CVX_asset,DE_asset,DHR_asset,DIS_asset,DUK_asset,EMR_asset,FDX_asset,GD_asset,GE_asset,GILD_asset,GM_asset,GOOG_asset,GOOGL_asset,GS_asset,HD_asset,HON_asset,IBM_asset,INTC_asset,INTU_asset,ISRG_asset,JNJ_asset,JPM_asset,KO_asset,LIN_asset,LLY_asset,LMT_asset,LOW_asset,LRCX_asset,MA_asset,MCD_asset,MDLZ_asset,MDT_asset,META_asset,MMM_asset,MO_asset,MRK_asset,MS_asset,MSFT_asset,MU_asset,NEE_asset,NFLX_asset,NKE_asset,NOW_asset,NVDA_asset,ORCL_asset,PEP_asset,PFE_asset,PG_asset,PLTR_asset,PM_asset,QCOM_asset,RTX_asset,SBUX_asset,SCHW_asset,SO_asset,SPG_asset,TMUS_asset,TSLA_asset,TXN_asset,UNH_asset,V_asset,VZ_asset,WMT_asset
2024-01-02,1000000.0000000001,2.220446049250313e-16,0.0,112469.91357809889,9800.960667228768,7071.295726464585,8208.326571952888,10488.542701020939,5092.1088384531395,9108.343853972376,5567.039531774979,3579.5104625065856,61195.860065113666,1949.6015581570462,5164.173545870904,6082.347415245492,9735.714466137937,187.9749408638309,4424.279322089905,3628.917572318557,46.58637199622859,3563.619844112069,5635.864770270122,2417.7289575729806,5908.232159409091,1872.8017308569476,5034.958406319508,11211.32349048596,9687.83675246372,7488.524136479919,3590.9652236752336,9948.274588226355,4235.660132958898,6553.565405913357,6316.586143460664,2649.749166131068,2064.004365918298,1886.8003223075968,2636.6014708495254,4252.474322648874,3637.3656613324715,1859.8949045048291,67357.36634913928,67440.93113770938,4625.2323880743825,12570.252284391436,4808.721462688856,5395.518035367313,7998.603942314086,6689.014835425726,4581.440360694986,13732.036903021157,18095.720284559797,9299.525406093535,7520.023243500284,21161.38215929024,4120.377069090149,4718.109951687548,387.90527617997054,15320.975178370527,7881.292349417342,3601.1028389127846,3966.964726785022,34973.7001740736,1841.5647664502424,2322.769101963248,10066.360769839794,5517.758210987648,106512.10495608358,3594.881722210548,4510.5536036642825,826.4202650937774,6038.864447488767,1117.0963572468252,4744.6632256638695,10915.662830244988,8346.33792337815,5418.320599667992,12628.525712531442,1441.295189328619,5188.568535102727,5872.385219198129,4496.200357991267,3976.087871548179,4690.936415759466,2726.9436117371947,1842.7785695536982,6959.249633550951,31065.966558944674,5578.371981374555,18156.649755848233,20460.911264736966,5265.018274692993,5376.226766165702
2024-01-03,1000531.7842066515,0.0005317842066514533,-0.005599894495059932,112469.91357809889,9800.960667228768,7071.295726464585,8208.326571952888,10488.542701020939,5092.1088384531395,9073.1213244161,5573.339786493625,3579.5104625065856,61195.860065113666,1949.6015581570462,5164.173545870904,6082.347415245492,9735.714466137937,187.9749408638309,4424.279322089905,3628.917572318557,46.58637199622859,3563.619844112069,5635.864770270122,2384.0599548086043,5908.232159409091,1872.8017308569476,5034.958406319508,11091.088565630473,9687.83675246372,7531.629703553221,3590.9652236752336,9948.274588226355,4235.660132958898,6553.565405913357,6316.586143460664,2649.749166131068,2064.004365918298,1886.8003223075968,2636.6014708495254,4252.474322648874,3637.3656613324715,1859.8949045048291,67357.36634913928,67440.93113770938,4625.2323880743825,12403.17302488248,4808.721462688856,5395.518035367313,7998.603942314086,6689.014835425726,4581.440360694986,13732.036903021157,18095.720284559797,9299.525406093535,7520.023243500284,21749.60327182531,4120.377069090149,4718.109951687548,387.90527617997054,15320.975178370527,7881.292349417342,3601.1028389127846,3975.360790137821,34973.7001740736,1841.5647664502424,2322.769101963248,10066.360769839794,5517.758210987648,106864.23324151091,3594.881722210548,4510.5536036642825,830.6238641805388,6038.864447488767,1117.0963572468252,4744.6632256638695,10915.662830244988,8346.33792337815,5418.320599667992,12573.860631525296,1441.295189328619,5188.568535102727,5812.685341346908,4496.200357991267,3976.087871548179,4690.936415759466,2726.9436117371947,1842.7785695536982,6959.249633550951,31065.966558944674,5578.371981374555,18156.649755848233,20460.911264736966,5265.018274692993,5376.226766165702
2024-01-04,999908.2056558925,-9.179434410755416e-05,-0.009831301996900743,112469.91357809889,9800.960667228768,7147.170167007919,8208.326571952888,10488.542701020939,5092.1088384531395,9119.350465651452,5619.301090204563,3579.5104625065856,61195.860065113666,1949.6015581570462,5164.173545870904,6082.347415245492,9735.714466137937,187.9749408638309,4433.302286011074,3628.917572318557,46.58637199622859,3563.619844112069,5635.864770270122,2397.2234603628035,5908.232159409091,1872.8017308569476,5034.958406319508,11152.452091021098,9687.83675246372,7467.677867920896,3590.9652236752336,9948.274588226355,4235.660132958898,6553.565405913357,6316.586143460664,2649.749166131068,2064.004365918298,1886.8003223075968,2636.6014708495254,4252.474322648874,3637.3656613324715,1859.8949045048291,67357.36634913928,67440.93113770938,4625.2323880743825,12415.259359110996,4808.721462688856,5395.518035367313,7998.603942314086,6689.014835425726,4581.440360694986,13732.036903021157,18095.720284559797,9299.525406093535,7520.023243500284,21639.52758823156,4120.377069090149,4718.109951687548,390.1461177250161,15320.975178370527,7881.292349417342,3601.1028389127846,4009.9785498424108,34973.7001740736,1841.5647664502424,2322.769101963248,10066.360769839794,5517.758210987648,106097.0859636789,3594.881722210548,4510.5536036642825,838.1208314962126,6038.864447488767,1117.0963572468252,4744.6632256638695,10915.662830244988,8346.33792337815,5418.320599667992,12642.155767023343,1441.295189328619,5188.568535102727,5752.9386372453455,4496.200357991267,3976.087871548179,4690.936415759466,2726.9436117371947,1843.7696013066575,6959.249633550951,31065.966558944674,5578.371981374555,18156.649755848233,20460.911264736966,5265.018274692993,5376.226766165702
2024-01-05,1000595.8414109558,0.0005958414109556998,-0.007607565583409359,112469.91357809889,9800.960667228768,7135.696457901473,8208.326571952888,10488.542701020939,5092.1088384531395,9291.540956374109,5616.149845087374,3579.5104625065856,61366.90217192519,1949.6015581570462,5220.255952210101,6082.347415245492,9735.714466137937,187.9749408638309,4418.537576538418,3628.917572318557,46.58637199622859,3563.619844112069,5635.864770270122,2386.692561314952,5908.232159409091,1872.8017308569476,5034.958406319508,11280.882816118754,9687.83675246372,7469.165386231442,3590.9652236752336,9948.274588226355,4235.660132958898,6553.565405913357,6316.586143460664,2649.749166131068,2064.004365918298,1886.8003223075968,2636.6014708495254,4252.474322648874,3637.3656613324715,1859.8949045048291,67357.36634913928,67440.93113770938,4625.2323880743825,12574.554982890293,4808.721462688856,5395.518035367313,7998.603942314086,6689.014835425726,4581.440360694986,13732.036903021157,18095.720284559797,9299.525406093535,7520.023243500284,21778.848266942496,4120.377069090149,4718.109951687548,390.7927470585122,15320.975178370527,7881.292349417342,3601.1028389127846,4040.327503089481,34973.7001740736,1841.5647664502424,2322.769101963248,10066.360769839794,5517.758210987648,106042.31087822966,3594.881722210548,4510.5536036642825,837.0838174886443,6038.864447488767,1117.0963572468252,4744.6632256638695,10915.662830244988,8346.33792337815,5418.320599667992,12538.447576105375,1441.295189328619,5188.568535102727,5776.336464393783,4496.200357991267,3976.087871548179,4690.936415759466,2726.9436117371947,1848.6032499882979,6959.249633550951,31065.966558944674,5578.371981374555,18156.649755848233,20460.911264736966,5265.018274692993,5376.226766165702
2024-01-08,1006007.3291200012,0.006007329120001126,0.0077021903265157565,112469.91357809889,9800.960667228768,7237.68396095323,8208.326571952888,10488.542701020939,5092.1088384531395,9800.740342970788,5762.183170282688,3579.5104625065856,62995.82242949355,1949.6015581570462,5224.353242249164,6082.347415245492,9735.714466137937,187.9749408638309,4486.491067749355,3628.917572318557,46.58637199622859,3563.619844112069,5635.864770270122,2398.979083226573,5908.232159409091,1872.8017308569476,5034.958406319508,11376.114566607035,9687.83675246372,7524.194522889157,3590.9652236752336,9948.274588226355,4235.660132958898,6553.565405913357,6316.586143460664,2649.749166131068,2064.004365918298,1886.8003223075968,2636.6014708495254,4252.474322648874,3637.3656613324715,1859.8949045048291,67357.36634913928,67440.93113770938,4625.2323880743825,12757.288930644198,4808.721462688856,5395.518035367313,7998.603942314086,6689.014835425726,4581.440360694986,13732.036903021157,18095.720284559797,9299.525406093535,7520.023243500284,22036.14868198156,4120.377069090149,4718.109951687548,402.92233995402,15320.975178370527,7881.292349417342,3601.1028389127846,4135.169246558719,34973.7001740736,1841.5647664502424,2322.769101963248,10066.360769839794,5517.758210987648,108043.77724785857,3594.881722210548,4510.5536036642825,855.7328195638396,6038.864447488767,1117.0963572468252,4744.6632256638695,10915.662830244988,8346.33792337815,5418.320599667992,12645.529943048734,1441.295189328619,5188.568535102727,5872.4320454484705,4496.200357991267,3976.087871548179,4690.936415759466,2726.9436117371947,1869.0532774541184,6959.249633550951,31065.966558944674,5578.371981374555,18156.649755848233,20460.911264736966,5265.018274692993,5376.226766165702
2024-01-09,1007493.0789765724,0.007493078976572365,0.007495136881669584,112469.91357809889,9800.960667228768,7258.720627823348,8208.326571952888,10488.542701020939,5092.1088384531395,10007.100465651452,5695.095157587374,3579.5104625065856,63953.75779326308,1949.6015581570462,5157.7045606085385,6082.347415245492,9735.714466137937,187.9749408638309,4473.856485229824,3628.917572318557,46.58637199622859,3563.619844112069,5635.864770270122,2411.265132115733,5908.232159409091,1872.8017308569476,5034.958406319508,11468.161929888285,9687.83675246372,7442.394878418942,3590.9652236752336,9948.274588226355,4235.660132958898,6553.565405913357,6316.586143460664,2649.749166131068,2064.004365918298,1886.8003223075968,2636.6014708495254,4298.191554719066,3637.3656613324715,1859.8949045048291,67357.36634913928,67440.93113770938,4625.2323880743825,12693.571157206698,4808.721462688856,5395.518035367313,7998.603942314086,6689.014835425726,4581.440360694986,13732.036903021157,18095.720284559797,9299.525406093535,7520.023243500284,22017.22595248937,4120.377069090149,4718.109951687548,400.40433458292625,15320.975178370527,7881.292349417342,3601.1028389127846,4139.437274817997,34973.7001740736,1841.5647664502424,2322.769101963248,10066.360769839794,5517.758210987648,108361.01516289765,3594.881722210548,4510.5536036642825,850.7348413533904,6038.864447488767,1117.0963572468252,4806.347354681383,10915.662830244988,8346.33792337815,5418.320599667992,12696.962438165921,1441.295189328619,5188.568535102727,5908.363319862533,4496.200357991267,3976.087871548179,4690.936415759466,2726.9436117371947,1867.1939024541184,6959.249633550951,31065.966558944674,5578.371981374555,18156.649755848233,20460.911264736966,5265.018274692993,5376.226766165702
2024-01-10,1011619.8302078509,0.011619830207850956,0.01432394412634208,112469.91357809889,9800.960667228768,7365.171151199813,8208.326571952888,10488.542701020939,5092.1088384531395,9958.860383864343,5645.245914423313,3579.5104625065856,64949.67805083144,1949.6015581570462,5108.536652893695,6082.347415245492,9735.714466137937,187.9749408638309,4463.634622436855,3628.917572318557,46.58637199622859,3563.619844112069,5635.864770270122,2403.366603062999,5908.232159409091,1872.8017308569476,5034.958406319508,11561.71588496641,9687.83675246372,7491.473941834471,3590.9652236752336,9948.274588226355,4235.660132958898,6553.565405913357,6316.586143460664,2649.749166131068,2064.004365918298,1886.8003223075968,2636.6014708495254,4328.610088044262,3637.3656613324715,1859.8949045048291,67357.36634913928,67440.93113770938,4625.2323880743825,13082.110799540684,4808.721462688856,5395.518035367313,7998.603942314086,6689.014835425726,4790.766519386393,13732.036903021157,18185.648496627196,9299.525406093535,7520.023243500284,22179.248352391714,4120.377069090149,4718.109951687548,399.2628627201333,15320.975178370527,7881.292349417342,3601.1028389127846,4159.353702430301,34973.7001740736,1841.5647664502424,2322.769101963248,10066.360769839794,5517.758210987648,110374.01076836638,3566.60023190011,4510.5536036642825,844.3428506917693,6038.864447488767,1117.0963572468252,4915.053638250719,10915.662830244988,8346.33792337815,5418.320599667992,12750.92453533389,1441.295189328619,5188.568535102727,5884.131630409408,4496.200357991267,3976.087871548179,4690.936415759466,2726.9436117371947,1898.550240955095,6959.249633550951,31065.966558944674,5578.371981374555,18156.649755848233,20460.911264736966,5265.018274692993,5376.226766165702
2024-01-11,1012890.9983216234,0.012890998321623437,0.013729709531711931,112469.91357809889,9800.960667228768,7342.752793350692,8208.326571952888,10488.542701020939,5092.1088384531395,9924.021119948327,5618.002262079563,3579.5104625065856,65561.57676298964,1949.6015581570462,5110.17556890932,6082.347415245492,9735.714466137937,189.78557395879176,4464.818399292324,3628.917572318557,46.58637199622859,3576.552743475994,5635.864770270122,2403.6591674550887,5908.232159409091,1872.8017308569476,5034.958406319508,11575.466129107035,9687.83675246372,7521.218883545896,3590.9652236752336,9948.274588226355,4235.660132958898,6553.565405913357,6316.586143460664,2649.749166131068,2064.004365918298,1886.8003223075968,2636.6014708495254,4332.908397370433,3637.3656613324715,1859.8949045048291,67357.36634913928,67440.93113770938,4625.2323880743825,13048.271495581419,4808.721462688856,5395.518035367313,7998.603942314086,6689.014835425726,4762.946328956705,13732.036903021157,18109.474882125243,9299.525406093535,7520.023243500284,22369.46899448156,4120.377069090149,4718.109951687548,404.4115214725747,15320.975178370527,7881.292349417342,3601.1028389127846,4159.827625159794,34973.7001740736,1841.5647664502424,2322.769101963248,10066.360769839794,5517.758210987648,110910.44771904997,3609.686184658899,4510.5536036642825,867.9728403157928,6038.864447488767,1117.0963572468252,4957.458461553942,10915.662830244988,8288.247430904446,5418.320599667992,12798.982854425687,1441.295189328619,5188.568535102727,5872.4320454484705,4496.200357991267,3976.087871548179,4690.936415759466,2726.9436117371947,1894.8325590703294,6959.249633550951,31065.966558944674,5578.371981374555,18156.649755848233,20460.911264736966,5265.018274692993,5376.226766165702
2024-01-12,1014133.7198790959,0.01413371987909584,0.014823553977865833,112469.91357809889,9800.960667228768,7369.65410713243,8208.326571952888,10488.542701020939,5092.1088384531395,9826.200670119226,5681.19745250925,3579.5104625065856,65325.25779326308,1949.6015581570462,5028.504060120257,6082.347415245492,9735.714466137937,187.83185386601832,4497.895486694668,3628.917572318557,46.58637199622859,3613.6684813910333,5635.864770270122,2413.8979751333113,5908.232159409091,1872.8017308569476,5034.958406319508,11737.42682246641,9687.83675246372,7506.347316773435,3590.9652236752336,9948.274588226355,4235.660132958898,6553.565405913357,6316.586143460664,2649.749166131068,2064.004365918298,1886.8003223075968,2636.6014708495254,4331.585002595042,3637.3656613324715,1859.8949045048291,67357.36634913928,67440.93113770938,4625.2323880743825,13048.271495581419,4808.721462688856,5395.518035367313,7998.603942314086,6689.014835425726,4781.146249611002,13732.036903021157,17977.227094649657,9299.525406093535,7520.023243500284,22617.141418797964,4120.377069090149,4718.109951687548,404.15196947062157,15275.498265844186,7881.292349417342,3601.1028389127846,4175.476802711063,34973.7001740736,1841.5647664502424,2322.769101963248,10066.360769839794,5517.758210987648,112017.88241143279,3567.0270431183717,4510.5536036642825,867.8538408345917,6038.864447488767,1117.0963572468252,4947.396014959703,10915.662830244988,8344.504297359525,5418.320599667992,12806.573033869046,1441.295189328619,5188.568535102727,5921.315041053939,4496.200357991267,3976.087871548179,4690.936415759466,2726.9436117371947,1922.5947966191575,6959.249633550951,31065.966558944674,5578.371981374555,18156.649755848233,20460.911264736966,5310.586957246804,5376.226766165702
2024-01-16,1014604.1523581392,0.014604152358139277,0.011650053301974994,112469.91357809889,9800.960667228768,7359.4061823277425,8208.326571952888,10488.542701020939,5092.1088384531395,10642.261201735437,5625.045719110813,3579.5104625065856,64709.14139922011,1949.6015581570462,4999.277436585101,6082.347415245492,9735.714466137937,187.88278770390895,4458.99717126498,3628.917572318557,46.58637199622859,3562.1185317450368,5635.864770270122,2399.856066869151,5908.232159409091,1872.8017308569476,5034.958406319508,11708.087711138285,9687.83675246372,7543.528644593259,3590.9652236752336,9948.274588226355,4235.660132958898,6553.565405913357,6316.586143460664,2649.749166131068,2064.004365918298,1886.8003223075968,2636.6014708495254,4271.409953766917,3637.3656613324715,1859.8949045048291,67594.8841560153,67440.93113770938,4625.2323880743825,13048.271495581419,4808.721462688856,5427.831863372525,7998.603942314086,6689.014835425726,4763.206186134439,13732.036903021157,17865.082136153564,9299.525406093535,7520.023243500284,22329.914551122183,4120.377069090149,4718.109951687548,404.87203172648094,15248.848729711373,7881.292349417342,3601.1028389127846,4133.746700172001,34973.7001740736,1841.5647664502424,2322.769101963248,10056.319337237865,5517.758210987648,112536.99410576872,3661.730908169641,4510.5536036642825,849.2898569173552,6038.864447488767,1117.0963572468252,5097.609332830797,10915.662830244988,8290.2208500939,5418.320599667992,12738.277898371,1441.295189328619,5188.568535102727,5959.753944862533,4496.200357991267,3976.087871548179,4690.936415759466,2726.9436117371947,1909.0854887578294,6959.249633550951,31065.966558944674,5578.371981374555,18156.649755848233,20460.911264736966,5410.839009553933,5376.226766165702
