ticker,weight,initial_capital,final_asset,return_pct,n_buy,n_sell,sharpe,max_dd_pct
TOTAL,1.0000000000000002,99999999.99999999,193954947.92776906,93.95494792776906,211,199,4.001394663756069,-4.694868536629837
AXP,0.031944433117773806,3194443.3117773808,7953303.343629071,148.97306251472878,6,6,2.073914202269702,-10.717475812213928
AMGN,0.04689176690024481,4689176.690024481,7567463.736975394,61.38150121478758,8,8,1.2661509182353814,-15.77105625759584
AMZN,0.026694642661295315,2669464.2661295314,4626221.257874526,73.30148661559367,8,7,1.1904588576088488,-28.05104549577788
AAPL,0.03259855224263929,3259855.2242639293,5500567.012098711,68.73654299603847,7,7,1.4049376620602598,-11.432776931555754
BA,0.045321353672913914,4532135.367291392,14718485.780987682,224.75830018696269,6,6,2.8416279223978336,-9.199501926059428
CAT,0.049904625542843896,4990462.554284389,19305728.37731123,286.8524844603225,8,7,2.7006314084918057,-10.185162894623934
CSCO,0.008307467136874509,830746.7136874509,1647114.403593345,98.26914466892897,6,6,2.20413138777147,-7.657346152129286
CVX,0.023756027140867844,2375602.7140867845,4484943.691062421,88.7918238377033,9,8,2.0735982471876366,-7.605059840494444
GS,0.06393479980350376,6393479.980350376,17523724.506520025,174.08742281788906,5,4,2.099232095245601,-15.357637778867927
HD,0.05693470776600007,5693470.776600007,9225723.472705584,62.040411459087984,8,7,1.504149373616657,-17.42861030352372
HON,0.032881328117854776,3288132.8117854777,5017406.14674764,52.591346942070615,8,8,1.2580909521562789,-15.33862186587076
IBM,0.026636448068167572,2663644.806816757,8012254.318069869,200.80040317556737,6,6,2.4571759864151796,-8.397349926376785
JNJ,0.0257145460841844,2571454.60841844,4509183.919385342,75.35537686036358,6,6,2.1555269815389018,-5.941148149222819
KO,0.009696274503437378,969627.4503437378,1456025.9414151723,50.16344070075611,8,7,1.5998791355981061,-7.81801021458085
JPM,0.028216088239199952,2821608.823919995,5822214.3208427895,106.3437805937296,8,7,1.6775064470400431,-16.38037032539411
MCD,0.048980716518444045,4898071.651844405,7128221.514994574,45.53118087421997,9,9,1.4013751645020016,-8.070758776815035
MMM,0.015030351053281314,1503035.1053281315,2500860.7595210513,66.38738181534902,5,4,0.9966743410235581,-18.770252975122947
MRK,0.017907417860816684,1790741.7860816685,3326721.006721538,85.77335004845975,9,9,1.8481619142695767,-8.300200654532519
MSFT,0.06460239209774157,6460239.209774157,10894037.5875825,68.63210840707157,9,9,1.847534164866455,-14.698133594369855
NVDA,0.00865922346522079,865922.346522079,3899994.6784053636,350.3861915643406,8,7,2.120571459345003,-24.719592713226067
NKE,0.01792820303746278,1792820.303746278,2377137.506347327,32.59206744703078,4,4,0.7476024001377304,-15.57979655040549
PG,0.024153710122092376,2415371.0122092376,2965553.329318548,22.778377082785383,8,8,0.8756538549220565,-9.98785674701621
TRV,0.03212643174658753,3212643.174658753,6377891.719979437,98.5247465478919,7,7,1.8387537056911882,-12.432099874711277
UNH,0.08849112838313365,8849112.838313365,11784951.752838973,33.1766468364435,9,8,0.6631490649206573,-26.729065908297834
CRM,0.045115106416428664,4511510.641642867,6534535.515805847,44.84140756512316,7,6,0.8388447974241502,-33.05213118092245
VZ,0.005645434418762377,564543.4418762376,830531.9862606552,47.11569113271696,8,8,1.209668233174485,-9.292288290265926
V,0.04487903622042732,4487903.622042732,4487903.622042732,0.0,0,0,0.0,0.0
WMT,0.00900193699251463,900193.6992514629,1987516.6881843559,120.78766934683429,7,6,2.349600001062999,-9.126209639307692
DIS,0.015557002782870859,1555700.278287086,3677145.623865143,136.36594241108503,7,7,2.14964969503057,-9.071368172907214
SHW,0.0524888478864141,5248884.78864141,7811584.406682183,48.823697246821965,7,7,1.2798426440988377,-9.154464585207423
BENCH:^DJI,,,,22.872766065426898,0,0,0.7160381382112744,-16.369224740128818
