ticker,weight,initial_capital,final_asset,return_pct,n_buy,n_sell,sharpe,max_dd_pct
TOTAL,0.9999999999999998,999999.9999999998,1703532.8091785156,70.35328091785156,211,199,2.956804647771304,-7.868214570163278
AXP,0.010293888087817957,10293.888087817957,24831.990335795057,141.23042842462849,6,6,2.013048019869688,-10.68320762233328
AMGN,0.011096931853959558,11096.931853959559,17247.072962887287,55.421995826109914,8,8,1.1798604204199699,-15.906447816605729
AMZN,0.12198337824098288,121983.37824098287,204814.01845865863,67.90321879267897,8,7,1.1269720036054618,-28.700040710735998
AAPL,0.22418934866067908,224189.34866067907,366876.81477648043,63.64596131271403,7,7,1.3254434549718084,-12.60177506431993
BA,0.012124109123681084,12124.109123681084,38226.97123410895,215.29715580869495,6,6,2.781035122237874,-9.177586413101036
CAT,0.011234123080473016,11234.123080473017,41682.994181913724,271.0391446072589,8,7,2.6374992014481613,-10.099047668029915
CSCO,0.014927079564450977,14927.079564450976,28827.40002740875,93.1215004444778,6,6,2.1188365931455584,-7.6572438423688105
CVX,0.019830167280099648,19830.16728009965,36019.656726711604,81.64071042839231,9,8,1.9524332403215705,-7.963551177300654
GS,0.009219601967299746,9219.601967299746,24359.694369333654,164.2163344549262,5,4,2.0676717827655,-14.979847085891329
HD,0.025056626990125983,25056.626990125984,39231.47616710648,56.57125830450502,8,7,1.4065052508569875,-17.4068589682859
HON,0.00958535574815959,9585.35574815959,14078.060972057132,46.8705110372158,8,8,1.1554106785441367,-15.19981438987924
IBM,0.010755033373400688,10755.033373400687,31403.72304655307,191.99094002088967,6,6,2.400261092257394,-8.399865788817507
JNJ,0.027372443981962914,27372.443981962915,46711.517249026096,70.65161327869251,6,6,2.05125547396639,-5.936540436960436
KO,0.018536997827404107,18536.997827404106,26954.752099848658,45.41055866123151,8,7,1.4780318549522806,-8.139331936639959
JPM,0.03607069317541725,36070.693175417255,72001.70078390112,99.61274498869739,8,7,1.6051211695902883,-17.105954571726567
MCD,0.015709995164114126,15709.995164114125,21947.208638619526,39.7021985643438,9,9,1.2580336004977442,-8.446385046820183
MMM,0.003670841315444301,3670.841315444301,5963.710559102412,62.46168239447836,5,4,0.9616183988514487,-18.66612658270761
MRK,0.02006555168913416,20065.55168913416,35817.225611342874,78.50107570547642,9,9,1.7343093889089407,-8.301190464015384
MSFT,0.21231348611289558,212313.48611289557,344153.69460359286,62.09695432187128,9,9,1.7124085867463277,-15.454073410798774
NVDA,0.009457666715794408,9457.666715794408,41189.19008206964,335.5111183320008,8,7,2.0791150896359576,-25.36231069739697
NKE,0.012037433337161126,12037.433337161126,15682.640435591322,30.282261976703673,4,4,0.7067849362436858,-15.574366866278844
PG,0.02517278500504133,25172.785005041333,29833.741502275247,18.515855501488886,8,8,0.7337608339110534,-9.98260653454488
TRV,0.0032645154136364918,3264.5154136364918,6155.622820561482,88.56160993598907,7,7,1.7472149810511606,-12.542230934554887
UNH,0.03619214555363846,36192.14555363846,46387.87053722513,28.171098528757078,9,8,0.591682670655016,-26.67781556390577
CRM,0.019311029433286258,19311.029433286258,27138.64994744281,40.53445488858376,7,6,0.7808781085022725,-33.03326128530745
VZ,0.01049490463838895,10494.90463838895,14901.066765700647,41.98382242745253,8,8,1.1033692137792652,-9.286760110489013
V,0.040785292915336384,40785.29291533638,40785.29291533638,0.0,0,0,0.0,0.0
WMT,0.010716579559935777,10716.579559935777,22992.836561894255,114.55387358718072,7,6,2.2663025594842585,-9.510172213596935
DIS,0.012591023574301693,12591.023574301693,28790.22998315859,128.65678722037748,7,7,2.073511471806182,-9.03912496896081
SHW,0.005940970615976454,5940.970615976454,8525.984822811537,43.51164774125402,7,7,1.1809907057379287,-9.382990206558873
BENCH:^DJI,,,,22.872766065426898,0,0,0.7160381382112744,-16.369224740128818
