Date,portfolio_equity,portfolio_cum_return,benchmark_cum_return,NVDA_asset,AVGO_asset,AMD_asset,QCOM_asset,TXN_asset,INTC_asset,MU_asset,AMAT_asset,ADI_asset,LRCX_asset,KLAC_asset,MRVL_asset,NXPI_asset,MPWR_asset,ASML_asset,ARM_asset,SWKS_asset,QRVO_asset,TER_asset,ENTG_asset,COHR_asset,CRUS_asset,LSCC_asset,RMBS_asset,ALGM_asset,MTSI_asset,TSM_asset
2024-01-02,100000000.0,0.0,0.0,5180114.736737849,2128530.3680881,9944281.39178123,6411335.803399083,6090338.878304826,8732692.750624739,3924809.601938995,5559447.906116332,4012703.352488875,423506.10402218346,325864.84104046284,2175801.261329005,2399719.4541415954,1246855.0706722275,12033905.46175462,3214911.0086999326,692300.6744339406,461954.7881574388,691478.7460449279,744337.9535215979,279643.89965311496,189477.54825000916,401381.2714346629,307404.0097202261,245529.43177927606,282136.8844123465,21899536.801452395
2024-01-03,99949993.57033886,-0.0005000642966114244,-0.02034035886554808,5180114.736737849,2128530.3680881,9915704.18650474,6351788.255420228,6090338.878304826,8732692.750624739,3924809.601938995,5559447.906116332,4012703.352488875,423506.10402218346,325864.84104046284,2175801.261329005,2399719.4541415954,1246855.0706722275,12081484.363705384,3214911.0086999326,692300.6744339406,461954.7881574388,691478.7460449279,735261.6239595839,279643.89965311496,189477.54825000916,401381.2714346629,307019.76092567045,245529.43177927606,282136.8844123465,21899536.801452395
2024-01-04,99871637.49629454,-0.001283625037054592,-0.02838399327312191,5180114.736737849,2128530.3680881,9966262.997311015,6285777.652545472,6090338.878304826,8732692.750624739,3924809.601938995,5559447.906116332,4012703.352488875,426598.405954441,325864.84104046284,2175801.261329005,2399719.4541415954,1246855.0706722275,12028581.932492005,3214911.0086999326,692300.6744339406,461954.7881574388,691478.7460449279,727786.9724703261,279643.89965311496,189477.54825000916,401381.2714346629,301400.2597202261,245529.43177927606,282136.8844123465,21899536.801452395
2024-01-05,100148199.41740279,0.0014819941740278342,-0.02225929843069452,5180114.736737849,2128530.3680881,10154580.283993144,6311628.529162903,6090338.878304826,8732692.750624739,3924809.601938995,5559447.906116332,4012703.352488875,427368.54149063485,325864.84104046284,2175801.261329005,2399719.4541415954,1246855.0706722275,12080971.537838684,3214911.0086999326,692300.6744339406,461954.7881574388,691478.7460449279,733726.7109957167,279643.89965311496,189477.54825000916,401505.5705679637,304570.23898734647,245529.43177927606,282136.8844123465,21899536.801452395
2024-01-08,101171862.76662306,0.011718627666230663,0.009803516997916928,5180114.736737849,2128530.3680881,10711469.613140482,6417798.858294983,6090338.878304826,8732692.750624739,3924809.601938995,5559447.906116332,4012703.352488875,441814.88662918465,325864.84104046284,2175801.261329005,2399719.4541415954,1246855.0706722275,12381557.085873352,3214911.0086999326,692300.6744339406,461954.7881574388,691478.7460449279,753347.5619478652,279643.89965311496,189477.54825000916,412134.97230136214,319891.78406943876,245529.43177927606,282136.8844123465,21899536.801452395
2024-01-09,101425272.62122707,0.014252726212270694,0.010342890669053917,5253167.904055467,2128530.3680881,10937156.747311015,6457497.200183411,6090338.878304826,8732692.750624739,3924809.601938995,5559447.906116332,4012703.352488875,438815.942232212,325864.84104046284,2175801.261329005,2399719.4541415954,1246855.0706722275,12297563.917355286,3214911.0086999326,692300.6744339406,461954.7881574388,691478.7460449279,751612.4273043104,279643.89965311496,189477.54825000916,415305.0981558543,320420.1170009573,245529.43177927606,282136.8844123465,21899536.801452395
2024-01-10,101438656.23543547,0.014386562354354648,0.006413072844817513,5372781.051409593,2128530.3680881,10884398.657863993,6430725.038379212,6090338.878304826,8732692.750624739,3897370.1977380365,5559447.906116332,4012703.352488875,437456.44924362557,324197.57598541054,2156086.6357815936,2399719.4541415954,1246855.0706722275,12329169.621762024,3214911.0086999326,692300.6744339406,461954.7881574388,691478.7460449279,753814.8143892713,279643.89965311496,189477.54825000916,412134.97230136214,313263.65726127225,245529.43177927606,282136.8844123465,21899536.801452395
2024-01-11,101579436.2608795,0.015794362608795076,0.011150737463628158,5419440.491984239,2128530.3680881,10846296.462887187,6417798.858294983,6090338.878304826,8732692.750624739,3945152.5193475336,5559447.906116332,4012703.352488875,443588.5018177833,327724.5237545756,2239023.6713650897,2399719.4541415954,1246855.0706722275,12341879.9948089,3214911.0086999326,692300.6744339406,461954.7881574388,691478.7460449279,748008.5912447402,279643.89965311496,189477.54825000916,404862.2162588817,318402.865795513,245529.43177927606,282136.8844123465,21899536.801452395
2024-01-12,101365981.0296974,0.013659810296974051,0.007305394003727983,5408368.446581712,2128530.3680881,10739314.470928568,6471806.791598816,6090338.878304826,8732692.750624739,3897843.5313790888,5559447.906116332,4012703.352488875,443279.3753834571,326832.5781101969,2232565.9384549335,2399719.4541415954,1246855.0706722275,12250671.933773743,3214911.0086999326,692300.6744339406,461954.7881574388,691478.7460449279,746139.8898287246,279643.89965311496,189477.54825000916,404986.56281649886,316913.9475215872,245529.43177927606,282136.8844123465,21899536.801452395
2024-01-16,102481650.88186263,0.024816508818626293,0.020606283193509656,5573653.167345872,2128530.3680881,11631804.552334208,6514275.665027161,6090338.878304826,8732692.750624739,4002870.1177209467,5559447.906116332,4012703.352488875,444136.9695301856,330446.9577412394,2227126.789407082,2399719.4541415954,1246855.0706722275,12135247.57153009,3214911.0086999326,692300.6744339406,461954.7881574388,691478.7460449279,752413.365414662,279643.89965311496,189477.54825000916,411575.5076407176,330842.6548503836,245529.43177927606,282136.8844123465,21899536.801452395
