Date,portfolio_equity,portfolio_cum_return,benchmark_cum_return,AXP_asset,AMGN_asset,AMZN_asset,AAPL_asset,BA_asset,CAT_asset,CSCO_asset,CVX_asset,GS_asset,HD_asset,HON_asset,IBM_asset,JNJ_asset,KO_asset,JPM_asset,MCD_asset,MMM_asset,MRK_asset,MSFT_asset,NVDA_asset,NKE_asset,PG_asset,TRV_asset,UNH_asset,CRM_asset,VZ_asset,V_asset,WMT_asset,DIS_asset,SHW_asset
2024-01-02,999999.9999999998,-2.220446049250313e-16,0.0,10293.888087817957,11096.931853959559,121983.37824098287,224189.34866067907,12124.109123681084,11234.123080473017,14927.079564450976,19830.16728009965,9219.601967299746,25056.626990125984,9585.35574815959,10755.033373400687,27372.443981962915,18536.997827404106,36070.693175417255,15709.995164114125,3670.841315444301,20065.55168913416,212313.48611289557,9457.666715794408,12037.433337161126,25172.785005041333,3264.5154136364918,36192.14555363846,19311.029433286258,10494.90463838895,40785.29291533638,10716.579559935777,12591.023574301693,5940.970615976454
2024-01-03,1000350.0849136778,0.0003500849136777173,-0.007552627899389486,10293.888087817957,11109.21735066092,121983.37824098287,224189.34866067907,12124.109123681084,11234.123080473017,15013.290698597579,19830.16728009965,9219.601967299746,24726.752554685227,9585.35574815959,10755.033373400687,27372.443981962915,18536.997827404106,36070.693175417255,15709.995164114125,3670.841315444301,20065.55168913416,213015.3472532371,9457.666715794408,12037.433337161126,25062.847453240083,3254.054543366791,36192.14555363846,19311.029433286258,10494.90463838895,40785.29291533638,10716.579559935777,12591.023574301693,5940.970615976454
2024-01-04,998968.9433563898,-0.0010310566436102508,-0.007283545916385692,10293.888087817957,11198.841892897248,121983.37824098287,224189.34866067907,12124.109123681084,11234.123080473017,14885.387027332928,19830.16728009965,9219.601967299746,24750.6153171364,9585.35574815959,10755.033373400687,27372.443981962915,18536.997827404106,36070.693175417255,15709.995164114125,3670.841315444301,20065.55168913416,211486.2713865379,9457.666715794408,12037.433337161126,25200.196559075044,3274.2677239087843,36192.14555363846,19311.029433286258,10494.90463838895,40785.29291533638,10716.579559935777,12591.023574301693,5945.759005587845
2024-01-05,999442.8205779426,-0.0005571794220573523,-0.006600276539220462,10406.052900496352,11192.69696491873,122325.05714155661,224189.34866067907,12124.109123681084,11234.123080473017,14888.362063954022,19830.16728009965,9219.601967299746,25065.122061521164,9585.35574815959,10755.033373400687,27372.443981962915,18536.997827404106,36070.693175417255,15709.995164114125,3670.841315444301,20065.55168913416,211377.09383526834,9457.666715794408,12037.433337161126,24991.627864006685,3282.9072807935495,36192.14555363846,19311.029433286258,10494.90463838895,40785.29291533638,10716.579559935777,12591.023574301693,5963.562350314408
2024-01-08,1007707.4686339729,0.007707468633972869,-0.0008491929094101014,10414.247480574479,11477.461949049592,125579.03765608298,224189.34866067907,12124.109123681084,11234.123080473017,14998.420337269452,19830.16728009965,9219.601967299746,25425.90447118913,9585.35574815959,10755.033373400687,27372.443981962915,18536.997827404106,36070.693175417255,15709.995164114125,3670.841315444301,20065.55168913416,215366.4111570457,9457.666715794408,12037.433337161126,25206.982401970552,3270.518364777924,36192.14555363846,19311.029433286258,10494.90463838895,40785.29291533638,10716.579559935777,12591.023574301693,6018.146700900345
2024-01-09,1009886.534371256,0.009886534371255973,-0.005034567402551038,10280.950117293227,11346.64032429373,127492.63839460837,224189.34866067907,12124.109123681084,11234.123080473017,14834.821048329022,19830.16728009965,9219.601967299746,25300.10271337663,9585.35574815959,10755.033373400687,27372.443981962915,18536.997827404106,36070.693175417255,15709.995164114125,3670.841315444301,20065.55168913416,215998.72890606915,9581.034973829435,12037.433337161126,25310.418864372896,3268.7256554273376,36192.14555363846,19311.029433286258,10494.90463838895,40785.29291533638,10716.579559935777,12591.023574301693,5979.801974337845
2024-01-10,1017095.7575709034,0.017095757570903425,-0.0005119600623507692,10182.61430186354,11249.43430012381,129482.11890913473,224189.34866067907,12124.109123681084,11234.123080473017,14932.979175160079,19830.16728009965,9219.601967299746,26067.21944311296,9585.35574815959,10755.033373400687,27372.443981962915,18536.997827404106,36250.549599552054,15709.995164114125,3670.841315444301,20065.55168913416,220011.02626935038,9798.447540968107,12037.433337161126,25418.942637566255,3283.233086457612,36192.14555363846,19311.029433286258,10494.90463838895,40785.29291533638,10716.579559935777,12591.023574301693,5997.214083712845
2024-01-11,1019369.1150334413,0.01936911503344141,-0.00010657635123589859,10185.89213389479,11196.309178053498,130704.4663365029,224189.34866067907,12124.109123681084,11234.123080473017,14992.469058582928,19830.16728009965,9219.601967299746,26000.408509654928,9585.35574815959,10755.033373400687,27372.443981962915,18536.997827404106,36098.20237054815,15709.995164114125,3670.841315444301,20065.55168913416,221080.25093976053,9883.257187574553,12037.433337161126,25515.59325707309,3312.247948518158,36192.14555363846,19311.029433286258,10494.90463838895,40785.29291533638,10716.579559935777,12591.023574301693,5978.039889376908
2024-01-12,1020967.1302672013,0.020967130267201428,-0.0032363374607070616,10022.549116316664,11319.539799391388,130232.38839460837,224189.34866067907,12124.109123681084,11234.123080473017,14962.725925038007,19830.16728009965,9219.601967299746,26000.408509654928,9585.35574815959,10755.033373400687,27372.443981962915,18536.997827404106,35833.706795596976,15709.995164114125,3670.841315444301,20065.55168913416,223287.58675519022,9863.132294386076,12037.433337161126,25530.85795128696,3323.495507111908,36192.14555363846,19311.029433286258,10586.042003496572,40785.29291533638,10716.579559935777,12591.023574301693,6077.623629611283
2024-01-16,1020831.6908712852,0.020831690871285113,-0.009384001118585616,9964.095869246352,11210.043919264435,129001.6155979775,224189.34866067907,12124.109123681084,11234.123080473017,15037.088580677655,19830.16728009965,9219.601967299746,26000.408509654928,9585.35574815959,10818.737777182389,27372.443981962915,18536.997827404106,35609.41687860479,15709.995164114125,3670.841315444301,20045.579169343513,224322.27877179178,10163.558930128263,12037.433337161126,25393.508845451997,3342.2412651685495,36192.14555363846,19311.029433286258,10786.54610811083,40785.29291533638,10716.579559935777,12591.023574301693,6030.082125705033
2024-01-17,1018588.1405923542,0.018588140592354252,-0.011888286440774554,9965.734785261977,11231.72433918631,127779.26817060934,224189.34866067907,12124.109123681084,11234.123080473017,14950.82577855363,19830.16728009965,9219.601967299746,26000.408509654928,9585.35574815959,10762.350997397232,27372.443981962915,18536.997827404106,35418.97776117315,15709.995164114125,3670.841315444301,19984.89600283961,223862.42757550272,10104.44424506967,11998.295635288776,25418.942637566255,3355.1183708814397,36192.14555363846,19311.029433286258,10671.186435564443,40785.29291533638,10685.329740750598,12591.023574301693,6045.733981173783
2024-01-18,1023237.9232003865,0.023237923200386534,-0.00653398998451582,9899.63041514479,11246.542149244904,129288.2325108193,224189.34866067907,12124.109123681084,11234.123080473017,15084.68193394914,19830.16728009965,9219.601967299746,26000.408509654928,9585.35574815959,10811.047713705826,27372.443981962915,18536.997827404106,35488.80667963018,15709.995164114125,3670.841315444301,20054.00554568629,226391.69857159647,10293.828629224945,12012.482494419635,25272.36069786899,3368.974449983002,36192.14555363846,19311.029433286258,10690.413654192373,40785.29291533638,10829.190580594348,12591.023574301693,6153.14303879097
