Date,portfolio_equity,portfolio_cum_return,benchmark_cum_return,AXP_asset,AMGN_asset,AMZN_asset,AAPL_asset,BA_asset,CAT_asset,CSCO_asset,CVX_asset,GS_asset,HD_asset,HON_asset,IBM_asset,JNJ_asset,KO_asset,JPM_asset,MCD_asset,MMM_asset,MRK_asset,MSFT_asset,NVDA_asset,NKE_asset,PG_asset,TRV_asset,UNH_asset,CRM_asset,VZ_asset,V_asset,WMT_asset,DIS_asset,SHW_asset
2024-01-02,99999999.99999999,-1.1102230246251565e-16,0.0,3194443.3117773808,4689176.690024481,2669464.2661295314,3259855.2242639293,4532135.367291392,4990462.554284389,830746.7136874509,2375602.7140867845,6393479.980350376,5693470.776600007,3288132.8117854777,2663644.806816757,2571454.60841844,969627.4503437378,2821608.823919995,4898071.651844405,1503035.1053281315,1790741.7860816685,6460239.209774157,865922.346522079,1792820.303746278,2415371.0122092376,3212643.174658753,8849112.838313365,4511510.641642867,564543.4418762376,4487903.622042732,900193.6992514629,1555700.278287086,5248884.78864141
2024-01-03,99957634.80620722,-0.00042365193792770484,-0.007552627899389486,3194443.3117773808,4699178.315730861,2669464.2661295314,3259855.2242639293,4532135.367291392,4990462.554284389,836376.6353017866,2375602.7140867845,6393479.980350376,5623318.653144839,3288132.8117854777,2663644.806816757,2571454.60841844,969627.4503437378,2821608.823919995,4898071.651844405,1503035.1053281315,1790741.7860816685,6488075.036752233,865922.346522079,1792820.303746278,2407229.886725924,3205103.855505673,8849112.838313365,4511510.641642867,564543.4418762376,4487903.622042732,900193.6992514629,1555700.278287086,5248884.78864141
2024-01-04,99991753.21118146,-8.246788818533357e-05,-0.007283545916385692,3194443.3117773808,4737935.185085109,2669464.2661295314,3259855.2242639293,4532135.367291392,4990462.554284389,829256.5293485699,2375602.7140867845,6393479.980350376,5628805.229072574,3288132.8117854777,2663644.806816757,2571454.60841844,969627.4503437378,2821608.823919995,4898071.651844405,1503035.1053281315,1790741.7860816685,6441506.065774451,865922.346522079,1792820.303746278,2420418.4362254357,3225879.4380709818,8849112.838313365,4511510.641642867,564543.4418762376,4487903.622042732,900193.6992514629,1555700.278287086,5258484.693199843
2024-01-05,100111726.02718723,0.0011172602718723113,-0.006600276539220462,3232743.187261919,4735277.89764004,2679611.2724314113,3259855.2242639293,4532135.367291392,4990462.554284389,829422.1428587018,2375602.7140867845,6393479.980350376,5701117.273262027,3288132.8117854777,2663644.806816757,2571454.60841844,969627.4503437378,2821608.823919995,4898071.651844405,1503035.1053281315,1790741.7860816685,6438180.994515905,865922.346522079,1792820.303746278,2400391.2322459435,3234759.377920835,8849112.838313365,4511510.641642867,564543.4418762376,4487903.622042732,900193.6992514629,1555700.278287086,5274662.5925528705
2024-01-08,100576768.22451007,0.005767682245100714,-0.0008491929094101014,3235307.9444945855,4858420.499110988,2750824.4236917873,3259855.2242639293,4532135.367291392,4990462.554284389,835548.8361684857,2375602.7140867845,6393479.980350376,5784069.11457062,3288132.8117854777,2663644.806816757,2571454.60841844,969627.4503437378,2821608.823919995,4898071.651844405,1503035.1053281315,1790741.7860816685,6559678.172402868,865922.346522079,1792820.303746278,2421070.0271067834,3222025.7585360687,8849112.838313365,4511510.641642867,564543.4418762376,4487903.622042732,900193.6992514629,1555700.278287086,5324263.391930312
2024-01-09,100487038.84475361,0.004870388447536067,-0.005034567402551038,3193588.2500976124,4801848.532405665,2792703.4510050197,3259855.2242639293,4532135.367291392,4990462.554284389,826441.6365110455,2375602.7140867845,6393479.980350376,5755144.51300812,3288132.8117854777,2663644.806816757,2571454.60841844,969627.4503437378,2821608.823919995,4898071.651844405,1503035.1053281315,1790741.7860816685,6578935.808694373,878134.021083079,1792820.303746278,2431002.21338608,3220183.1696841395,8849112.838313365,4511510.641642867,564543.4418762376,4487903.622042732,900193.6992514629,1555700.278287086,5289419.538902968
2024-01-10,100839881.83142434,0.008398818314243384,-0.0005119600623507692,3162810.8958648243,4759813.15810757,2836243.1022653957,3259855.2242639293,4532135.367291392,4990462.554284389,831905.8757803022,2375602.7140867845,6393479.980350376,5931521.585517886,3288132.8117854777,2663644.806816757,2571454.60841844,969627.4503437378,2838537.6741352,4898071.651844405,1503035.1053281315,1790741.7860816685,6701132.858254919,898128.7301742656,1792820.303746278,2441422.8939280724,3235094.248648374,8849112.838313365,4511510.641642867,564543.4418762376,4487903.622042732,900193.6992514629,1555700.278287086,5305241.922692031
2024-01-11,100902911.9215022,0.00902911921502203,-0.00010657635123589859,3163836.7987578907,4736839.948268703,2862994.095963516,3259855.2242639293,4532135.367291392,4990462.554284389,835217.5420438824,2375602.7140867845,6393479.980350376,5936343.236695757,3288132.8117854777,2663644.806816757,2571454.60841844,969627.4503437378,2826588.0241413037,4898071.651844405,1503035.1053281315,1790741.7860816685,6733696.770699987,905928.3906738383,1792820.303746278,2450703.4893260216,3264916.4065768397,8849112.838313365,4511510.641642867,564543.4418762376,4487903.622042732,900193.6992514629,1555700.278287086,5287818.332298964
2024-01-12,101046706.76546916,0.01046706765469163,-0.0032363374607070616,3112713.351095537,4790129.292598537,2852662.7010050197,3259855.2242639293,4532135.367291392,4990462.554284389,833561.8095686017,2375602.7140867845,6393479.980350376,5936343.236695757,3288132.8117854777,2663644.806816757,2571454.60841844,969627.4503437378,2805841.80140876,4898071.651844405,1503035.1053281315,1790741.7860816685,6800922.5766692255,904077.5713302714,1792820.303746278,2452169.2373118615,3276476.9119479335,8849112.838313365,4511510.641642867,570012.7546084585,4487903.622042732,900193.6992514629,1555700.278287086,5378310.077049941
2024-01-16,100992119.4049679,0.00992119404967906,-0.009384001118585616,3094418.528570513,4742779.343410305,2825727.3186502834,3259855.2242639293,4532135.367291392,4990462.554284389,837701.409174162,2375602.7140867845,6393479.980350376,5936343.236695757,3288132.8117854777,2682280.711089829,2571454.60841844,969627.4503437378,2788249.1873340528,4898071.651844405,1503035.1053281315,1790741.7860816685,6832434.775338659,931706.8075973613,1792820.303746278,2438980.6878123498,3295744.24315521,8849112.838313365,4511510.641642867,580803.4063265981,4487903.622042732,900193.6992514629,1555700.278287086,5335109.112450331
